ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1112142.000000,2056870.000000,0.000000,t001_0_1
2A,1046009.000000,1988867.000000,0.000000,t001_0_1
3A,744541.000000,1940445.000000,0.000000,t001_0_1
4A,666034.000000,2056547.000000,0.000000,t001_0_1
5A,730392.000000,1933744.000000,0.000000,t001_0_1
6A,716233.000000,2205992.000000,0.000000,t001_0_1
7A,494939.000000,2436961.000000,0.000000,t001_0_1
8A,467485.000000,2512524.000000,0.000000,t001_0_1
9A,362139.000000,2563289.000000,0.000000,t001_0_1
10A,323261.000000,2474291.000000,0.000000,t001_0_1
11A,100034.000000,2838711.000000,0.000000,t001_0_1
1A,1090905.000000,2072215.000000,0.621048,t002_0_1
2A,1027785.000000,1934617.000000,0.621048,t002_0_1
3A,735478.000000,1951754.000000,0.621048,t002_0_1
4A,663961.000000,2042667.000000,0.621048,t002_0_1
5A,727041.000000,1921825.000000,0.621048,t002_0_1
6A,812620.000000,2219988.000000,0.621048,t002_0_1
7A,484517.000000,2434330.000000,0.621048,t002_0_1
8A,467371.000000,2500407.000000,0.621048,t002_0_1
9A,361853.000000,2573517.000000,0.621048,t002_0_1
10A,325090.000000,2466327.000000,0.621048,t002_0_1
11A,95863.000000,2832239.000000,0.621048,t002_0_1
1A,1100453.000000,2081360.000000,1.242096,t003_0_1
2A,1007792.000000,1940751.000000,1.242096,t003_0_1
3A,722470.000000,1926079.000000,1.242096,t003_0_1
4A,658757.000000,2030533.000000,1.242096,t003_0_1
5A,722263.000000,1904765.000000,1.242096,t003_0_1
6A,838101.000000,2177347.000000,1.242096,t003_0_1
7A,509127.000000,2449970.000000,1.242096,t003_0_1
8A,472641.000000,2509581.000000,1.242096,t003_0_1
9A,363116.000000,2574173.000000,1.242096,t003_0_1
10A,323363.000000,2467306.000000,1.242096,t003_0_1
11A,98930.000000,2834499.000000,1.242096,t003_0_1
1A,1089341.000000,2065548.000000,1.863144,t004_0_1
2A,998120.000000,1964845.000000,1.863144,t004_0_1
3A,711446.000000,1912026.000000,1.863144,t004_0_1
4A,660723.000000,2022398.000000,1.863144,t004_0_1
5A,711510.000000,1908200.000000,1.863144,t004_0_1
6A,849901.000000,2194724.000000,1.863144,t004_0_1
7A,549584.000000,2388138.000000,1.863144,t004_0_1
8A,472435.000000,2475622.000000,1.863144,t004_0_1
9A,368285.000000,2570499.000000,1.863144,t004_0_1
10A,325204.000000,2464601.000000,1.863144,t004_0_1
11A,95151.000000,2835513.000000,1.863144,t004_0_1
1A,1085992.000000,2065804.000000,2.484192,t005_0_1
2A,1002270.000000,1953679.000000,2.484192,t005_0_1
3A,685521.000000,1909582.000000,2.484192,t005_0_1
4A,655530.000000,1996947.000000,2.484192,t005_0_1
5A,687751.000000,1928970.000000,2.484192,t005_0_1
6A,837713.000000,2209349.000000,2.484192,t005_0_1
7A,614632.000000,2389460.000000,2.484192,t005_0_1
8A,473927.000000,2488696.000000,2.484192,t005_0_1
9A,369817.000000,2551386.000000,2.484192,t005_0_1
10A,315789.000000,2463390.000000,2.484192,t005_0_1
11A,99393.000000,2829570.000000,2.484192,t005_0_1
1A,1109328.000000,2084069.000000,3.105240,t006_0_1
2A,963161.000000,1946298.000000,3.105240,t006_0_1
3A,684217.000000,1894530.000000,3.105240,t006_0_1
4A,642261.000000,1998076.000000,3.105240,t006_0_1
5A,680708.000000,1907309.000000,3.105240,t006_0_1
6A,821781.000000,2235298.000000,3.105240,t006_0_1
7A,648787.000000,2387167.000000,3.105240,t006_0_1
8A,477424.000000,2504088.000000,3.105240,t006_0_1
9A,367652.000000,2571550.000000,3.105240,t006_0_1
10A,314093.000000,2461549.000000,3.105240,t006_0_1
11A,95816.000000,2824506.000000,3.105240,t006_0_1
1A,1088973.000000,2067686.000000,3.726288,t007_0_1
2A,950500.000000,1982034.000000,3.726288,t007_0_1
3A,681099.000000,1942109.000000,3.726288,t007_0_1
4A,650619.000000,2002036.000000,3.726288,t007_0_1
5A,667091.000000,1921535.000000,3.726288,t007_0_1
6A,806118.000000,2203162.000000,3.726288,t007_0_1
7A,683785.000000,2362338.000000,3.726288,t007_0_1
8A,478736.000000,2487570.000000,3.726288,t007_0_1
9A,364982.000000,2554240.000000,3.726288,t007_0_1
10A,310973.000000,2451086.000000,3.726288,t007_0_1
11A,94996.000000,2816157.000000,3.726288,t007_0_1
1A,1069165.000000,2063951.000000,4.347336,t008_0_1
2A,934760.000000,1968865.000000,4.347336,t008_0_1
3A,676765.000000,1954063.000000,4.347336,t008_0_1
4A,632570.000000,1981667.000000,4.347336,t008_0_1
5A,659261.000000,1862216.000000,4.347336,t008_0_1
6A,811516.000000,2215042.000000,4.347336,t008_0_1
7A,696786.000000,2382034.000000,4.347336,t008_0_1
8A,502713.000000,2525422.000000,4.347336,t008_0_1
9A,363815.000000,2550303.000000,4.347336,t008_0_1
10A,310135.000000,2445059.000000,4.347336,t008_0_1
11A,96893.000000,2820106.000000,4.347336,t008_0_1
1A,1066087.000000,2107550.000000,4.968384,t009_0_1
2A,937707.000000,1972376.000000,4.968384,t009_0_1
3A,669512.000000,1917880.000000,4.968384,t009_0_1
4A,627138.000000,1953931.000000,4.968384,t009_0_1
5A,667317.000000,1908287.000000,4.968384,t009_0_1
6A,818149.000000,2228142.000000,4.968384,t009_0_1
7A,710642.000000,2396834.000000,4.968384,t009_0_1
8A,554105.000000,2465452.000000,4.968384,t009_0_1
9A,366629.000000,2545196.000000,4.968384,t009_0_1
10A,299223.000000,2467631.000000,4.968384,t009_0_1
11A,100012.000000,2826941.000000,4.968384,t009_0_1
1A,1045450.000000,2086304.000000,5.589432,t010_0_1
2A,923797.000000,1994481.000000,5.589432,t010_0_1
3A,639063.000000,1913959.000000,5.589432,t010_0_1
4A,621736.000000,1940986.000000,5.589432,t010_0_1
5A,667067.000000,1911998.000000,5.589432,t010_0_1
6A,804867.000000,2177321.000000,5.589432,t010_0_1
7A,710964.000000,2381775.000000,5.589432,t010_0_1
8A,613241.000000,2501196.000000,5.589432,t010_0_1
9A,355012.000000,2527143.000000,5.589432,t010_0_1
10A,300035.000000,2467181.000000,5.589432,t010_0_1
11A,94682.000000,2823802.000000,5.589432,t010_0_1
1A,1038589.000000,2101647.000000,6.210480,t011_0_1
2A,898481.000000,2007710.000000,6.210480,t011_0_1
3A,619102.000000,1955275.000000,6.210480,t011_0_1
4A,587740.000000,1940307.000000,6.210480,t011_0_1
5A,651959.000000,1883623.000000,6.210480,t011_0_1
6A,785656.000000,2188194.000000,6.210480,t011_0_1
7A,701945.000000,2380992.000000,6.210480,t011_0_1
8A,663065.000000,2437612.000000,6.210480,t011_0_1
9A,360204.000000,2546378.000000,6.210480,t011_0_1
10A,304701.000000,2469487.000000,6.210480,t011_0_1
11A,95105.000000,2828618.000000,6.210480,t011_0_1
1A,1006418.000000,2112198.000000,6.831528,t012_0_1
2A,873074.000000,2004223.000000,6.831528,t012_0_1
3A,635270.000000,1969399.000000,6.831528,t012_0_1
4A,546527.000000,1929369.000000,6.831528,t012_0_1
5A,625942.000000,1897321.000000,6.831528,t012_0_1
6A,797936.000000,2189689.000000,6.831528,t012_0_1
7A,716247.000000,2396979.000000,6.831528,t012_0_1
8A,715727.000000,2452593.000000,6.831528,t012_0_1
