ROI ID,Total Intensity,Time,Frame Id
16A,772793,4.147836,t008_0_1
17A,779007,4.147836,t008_0_1
18A,574461,4.147836,t008_0_1
19A,719068,4.147836,t008_0_1
20A,260649,4.147836,t008_0_1
1A,1124063,4.740384,t009_0_1
2A,1321801,4.740384,t009_0_1
3A,1192935,4.740384,t009_0_1
4A,1090956,4.740384,t009_0_1
5A,1010582,4.740384,t009_0_1
6A,865378,4.740384,t009_0_1
7A,647318,4.740384,t009_0_1
8A,559500,4.740384,t009_0_1
9A,984593,4.740384,t009_0_1
10A,942607,4.740384,t009_0_1
11A,843507,4.740384,t009_0_1
12A,886660,4.740384,t009_0_1
13A,989497,4.740384,t009_0_1
14A,1023305,4.740384,t009_0_1
15A,982656,4.740384,t009_0_1
16A,779690,4.740384,t009_0_1
17A,783857,4.740384,t009_0_1
18A,580111,4.740384,t009_0_1
19A,689028,4.740384,t009_0_1
20A,260562,4.740384,t009_0_1
1A,1129455,5.332932,t010_0_1
2A,1324805,5.332932,t010_0_1
3A,1154281,5.332932,t010_0_1
4A,1133323,5.332932,t010_0_1
5A,1003075,5.332932,t010_0_1
6A,892259,5.332932,t010_0_1
7A,680205,5.332932,t010_0_1
8A,565929,5.332932,t010_0_1
9A,1000170,5.332932,t010_0_1
10A,948274,5.332932,t010_0_1
11A,860795,5.332932,t010_0_1
12A,905863,5.332932,t010_0_1
13A,998575,5.332932,t010_0_1
14A,1037485,5.332932,t010_0_1
15A,988411,5.332932,t010_0_1
16A,775223,5.332932,t010_0_1
17A,789445,5.332932,t010_0_1
18A,569039,5.332932,t010_0_1
19A,677063,5.332932,t010_0_1
20A,260703,5.332932,t010_0_1
1A,1137532,5.92548,t011_0_1
2A,1317953,5.92548,t011_0_1
3A,1117827,5.92548,t011_0_1
4A,1140907,5.92548,t011_0_1
5A,999015,5.92548,t011_0_1
6A,964863,5.92548,t011_0_1
7A,717173,5.92548,t011_0_1
8A,557229,5.92548,t011_0_1
9A,996008,5.92548,t011_0_1
10A,939676,5.92548,t011_0_1
11A,856581,5.92548,t011_0_1
12A,896861,5.92548,t011_0_1
13A,1001595,5.92548,t011_0_1
14A,1022729,5.92548,t011_0_1
15A,980882,5.92548,t011_0_1
16A,777893,5.92548,t011_0_1
17A,766399,5.92548,t011_0_1
18A,571618,5.92548,t011_0_1
19A,701230,5.92548,t011_0_1
20A,261533,5.92548,t011_0_1
1A,1130511,6.518028,t012_0_1
