ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
6A,754334.000000,450.617682,2242.000000,29.000000,2213.000000,313.755861,941.267583,2505041.000000,1496.440263,1861.000000,444.000000,1417.000000,296.593898,889.781695,0.727320,t003_0_1
7A,1102263.000000,658.460573,3284.000000,29.000000,3255.000000,576.985052,1730.955156,2556517.000000,1527.190562,1825.000000,468.000000,1357.000000,218.679763,656.039290,0.727320,t003_0_1
8A,1702923.000000,1017.277778,3280.000000,28.000000,3252.000000,764.451868,2293.355603,2566921.000000,1533.405615,1834.000000,699.000000,1135.000000,191.844477,575.533430,0.727320,t003_0_1
9A,2458467.000000,1468.618280,3528.000000,132.000000,3396.000000,819.999091,2459.997274,2738962.000000,1636.178017,1910.000000,1181.000000,729.000000,137.193462,411.580385,0.727320,t003_0_1
10A,1934911.000000,1155.860812,2807.000000,109.000000,2698.000000,560.379699,1681.139096,2788926.000000,1666.025090,1980.000000,1249.000000,731.000000,120.014647,360.043941,0.727320,t003_0_1
11A,207857.000000,124.167861,416.000000,27.000000,389.000000,65.483214,196.449641,2989618.000000,1785.912784,1856.000000,1699.000000,157.000000,19.749828,59.249485,0.727320,t003_0_1
1A,3393897.000000,2027.417563,4095.000000,39.000000,4056.000000,1589.530321,4768.590964,1944163.000000,1161.387694,1611.000000,242.000000,1369.000000,350.973489,1052.920468,1.090980,t004_0_1
2A,3626342.000000,2166.273596,4095.000000,37.000000,4058.000000,1666.128454,4998.385363,1948094.000000,1163.735962,1653.000000,245.000000,1408.000000,347.257048,1041.771143,1.090980,t004_0_1
3A,3797698.000000,2268.636798,4095.000000,81.000000,4014.000000,1597.289373,4791.868120,1915374.000000,1144.189964,1661.000000,293.000000,1368.000000,324.460103,973.380308,1.090980,t004_0_1
4A,3328824.000000,1988.544803,4095.000000,30.000000,4065.000000,1674.580034,5023.740101,2193888.000000,1310.566308,1743.000000,267.000000,1476.000000,313.234894,939.704681,1.090980,t004_0_1
5A,1271927.000000,759.813023,4095.000000,29.000000,4066.000000,736.948080,2210.844239,2433061.000000,1453.441458,1832.000000,342.000000,1490.000000,294.067021,882.201062,1.090980,t004_0_1
6A,753280.000000,449.988053,2419.000000,29.000000,2390.000000,318.755606,956.266817,2473629.000000,1477.675627,1853.000000,436.000000,1417.000000,291.230200,873.690599,1.090980,t004_0_1
7A,1232897.000000,736.497611,3605.000000,32.000000,3573.000000,639.884457,1919.653372,2524720.000000,1508.195938,1802.000000,459.000000,1343.000000,217.573412,652.720237,1.090980,t004_0_1
8A,1726560.000000,1031.397849,3209.000000,32.000000,3177.000000,765.660581,2296.981742,2519504.000000,1505.080048,1853.000000,665.000000,1188.000000,208.158457,624.475372,1.090980,t004_0_1
9A,2357683.000000,1408.412784,3849.000000,120.000000,3729.000000,775.408145,2326.224436,2727543.000000,1629.356631,1894.000000,1167.000000,727.000000,137.872142,413.616427,1.090980,t004_0_1
10A,1825670.000000,1090.603345,3121.000000,92.000000,3029.000000,526.769197,1580.307590,2770782.000000,1655.186380,1970.000000,1222.000000,748.000000,122.278859,366.836577,1.090980,t004_0_1
