ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,367556.000000,219.567503,1817.000000,25.000000,1792.000000,257.835088,773.505263,1934211.000000,1155.442652,1778.000000,266.000000,1512.000000,415.362901,1246.088704,0.000000,t001_0_1
2A,392122.000000,234.242533,1617.000000,27.000000,1590.000000,266.855750,800.567250,1762931.000000,1053.124851,1756.000000,298.000000,1458.000000,422.931553,1268.794659,0.000000,t001_0_1
3A,448560.000000,267.956989,2760.000000,26.000000,2734.000000,364.009757,1092.029271,1977282.000000,1181.172043,1891.000000,340.000000,1551.000000,427.406631,1282.219892,0.000000,t001_0_1
4A,784626.000000,468.713262,4040.000000,26.000000,4014.000000,714.216528,2142.649584,2030631.000000,1213.041219,1868.000000,423.000000,1445.000000,359.803587,1079.410762,0.000000,t001_0_1
5A,974964.000000,582.415771,4095.000000,25.000000,4070.000000,861.403019,2584.209058,1998889.000000,1194.079450,1859.000000,298.000000,1561.000000,426.592288,1279.776863,0.000000,t001_0_1
6A,846579.000000,505.722222,3700.000000,26.000000,3674.000000,754.153761,2262.461282,2259368.000000,1349.682198,1977.000000,584.000000,1393.000000,356.424497,1069.273492,0.000000,t001_0_1
7A,1293547.000000,772.728196,4095.000000,25.000000,4070.000000,1116.608512,3349.825537,2153670.000000,1286.541219,1916.000000,425.000000,1491.000000,448.723228,1346.169683,0.000000,t001_0_1
8A,1974262.000000,1179.367981,4095.000000,26.000000,4069.000000,1461.951532,4385.854596,2396622.000000,1431.673835,1907.000000,835.000000,1072.000000,264.019366,792.058099,0.000000,t001_0_1
9A,2001819.000000,1195.829749,4095.000000,27.000000,4068.000000,1541.388509,4624.165528,2815747.000000,1682.047192,2153.000000,1159.000000,994.000000,148.486364,445.459092,0.000000,t001_0_1
10A,853049.000000,509.587216,4095.000000,28.000000,4067.000000,793.258943,2379.776830,3015656.000000,1801.467145,2037.000000,1523.000000,514.000000,77.792485,233.377454,0.000000,t001_0_1
11A,90743.000000,54.207288,284.000000,24.000000,260.000000,36.976219,110.928657,3186931.000000,1903.781959,1991.000000,1752.000000,239.000000,29.184141,87.552424,0.000000,t001_0_1
1A,371479.000000,221.910992,1568.000000,26.000000,1542.000000,252.157356,756.472067,1951551.000000,1165.801075,1772.000000,273.000000,1499.000000,415.884412,1247.653235,0.469376,t002_0_1
2A,391348.000000,233.780167,2018.000000,27.000000,1991.000000,273.900122,821.700365,1804415.000000,1077.906213,1758.000000,289.000000,1469.000000,437.113859,1311.341577,0.469376,t002_0_1
3A,463419.000000,276.833333,2749.000000,26.000000,2723.000000,368.017603,1104.052809,1991072.000000,1189.409797,1903.000000,337.000000,1566.000000,432.867695,1298.603085,0.469376,t002_0_1
4A,771325.000000,460.767622,4064.000000,25.000000,4039.000000,698.232023,2094.696068,2011622.000000,1201.685783,1852.000000,434.000000,1418.000000,366.995871,1100.987613,0.469376,t002_0_1
5A,1026011.000000,612.909797,4095.000000,26.000000,4069.000000,901.309168,2703.927505,1972279.000000,1178.183393,1856.000000,330.000000,1526.000000,404.262914,1212.788741,0.469376,t002_0_1
6A,849672.000000,507.569892,4095.000000,26.000000,4069.000000,761.245830,2283.737491,2269390.000000,1355.669056,1988.000000,578.000000,1410.000000,337.923801,1013.771402,0.469376,t002_0_1
7A,1303296.000000,778.551971,4095.000000,28.000000,4067.000000,1127.228189,3381.684566,2189658.000000,1308.039427,1910.000000,437.000000,1473.000000,453.799265,1361.397794,0.469376,t002_0_1
8A,1979338.000000,1182.400239,4095.000000,27.000000,4068.000000,1462.276945,4386.830834,2375209.000000,1418.882318,1887.000000,875.000000,1012.000000,271.774203,815.322609,0.469376,t002_0_1
9A,1996579.000000,1192.699522,4095.000000,27.000000,4068.000000,1539.662767,4618.988300,2820868.000000,1685.106332,2148.000000,1202.000000,946.000000,143.876546,431.629639,0.469376,t002_0_1
10A,872683.000000,521.316010,4095.000000,27.000000,4068.000000,817.004910,2451.014729,3016304.000000,1801.854241,2024.000000,1512.000000,512.000000,75.513805,226.541416,0.469376,t002_0_1
11A,90399.000000,54.001792,305.000000,24.000000,281.000000,38.758627,116.275881,3179484.000000,1899.333333,1980.000000,1756.000000,224.000000,29.052994,87.158982,0.469376,t002_0_1
1A,369776.000000,220.893668,1791.000000,26.000000,1765.000000,251.098501,753.295502,1956646.000000,1168.844683,1782.000000,263.000000,1519.000000,421.295747,1263.887240,0.938752,t003_0_1
2A,397039.000000,237.179809,2005.000000,24.000000,1981.000000,277.528027,832.584081,1813536.000000,1083.354839,1750.000000,288.000000,1462.000000,430.187964,1290.563891,0.938752,t003_0_1
3A,453750.000000,271.057348,2624.000000,27.000000,2597.000000,362.222883,1086.668650,1974058.000000,1179.246117,1911.000000,340.000000,1571.000000,428.654465,1285.963395,0.938752,t003_0_1
4A,765058.000000,457.023895,4095.000000,24.000000,4071.000000,701.303279,2103.909836,2041436.000000,1219.495818,1846.000000,431.000000,1415.000000,370.770469,1112.311408,0.938752,t003_0_1
5A,976823.000000,583.526284,4095.000000,26.000000,4069.000000,863.437416,2590.312249,1980172.000000,1182.898447,1858.000000,328.000000,1530.000000,415.681297,1247.043891,0.938752,t003_0_1
6A,851841.000000,508.865591,3930.000000,25.000000,3905.000000,762.999325,2288.997976,2298574.000000,1373.102748,1984.000000,571.000000,1413.000000,364.329992,1092.989976,0.938752,t003_0_1
7A,1295174.000000,773.700119,4095.000000,25.000000,4070.000000,1115.828897,3347.486691,2160212.000000,1290.449223,1906.000000,447.000000,1459.000000,426.961567,1280.884700,0.938752,t003_0_1
