ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Range:CH1,SD:CH1,3SD:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Range:CH2,SD:CH2,3SD:CH2,Time,Frame Id
1A,3632848.000000,2170.160096,4095.000000,31.000000,4064.000000,1501.506324,4504.518973,2444489.000000,1460.268220,1771.000000,648.000000,1123.000000,219.265921,657.797762,0.000000,t001_0_1
2A,3486821.000000,2082.927718,4095.000000,29.000000,4066.000000,1571.290173,4713.870519,2683846.000000,1603.253286,1899.000000,609.000000,1290.000000,303.734422,911.203265,0.000000,t001_0_1
3A,1901399.000000,1135.841697,3337.000000,30.000000,3307.000000,846.186156,2538.558467,2823516.000000,1686.688172,1981.000000,687.000000,1294.000000,317.494736,952.484209,0.000000,t001_0_1
4A,1608153.000000,960.664875,3269.000000,29.000000,3240.000000,650.198226,1950.594678,3022646.000000,1805.642772,2039.000000,813.000000,1226.000000,241.748149,725.244447,0.000000,t001_0_1
5A,1120568.000000,669.395460,2288.000000,30.000000,2258.000000,476.197402,1428.592205,2821096.000000,1685.242533,2099.000000,525.000000,1574.000000,357.588297,1072.764892,0.000000,t001_0_1
6A,832472.000000,497.295102,4095.000000,31.000000,4064.000000,447.231456,1341.694367,2551746.000000,1524.340502,2160.000000,203.000000,1957.000000,547.525031,1642.575093,0.000000,t001_0_1
7A,1202467.000000,718.319594,4095.000000,45.000000,4050.000000,692.516604,2077.549813,2513554.000000,1501.525687,2274.000000,203.000000,2071.000000,589.789269,1769.367807,0.000000,t001_0_1
8A,1558001.000000,930.705496,4095.000000,27.000000,4068.000000,965.833606,2897.500819,2446364.000000,1461.388292,2382.000000,201.000000,2181.000000,698.463086,2095.389259,0.000000,t001_0_1
9A,1891451.000000,1129.899044,4095.000000,48.000000,4047.000000,1173.711923,3521.135769,2531871.000000,1512.467742,2385.000000,212.000000,2173.000000,676.632141,2029.896423,0.000000,t001_0_1
10A,2154467.000000,1287.017324,4095.000000,31.000000,4064.000000,1177.201355,3531.604065,2450255.000000,1463.712664,2411.000000,208.000000,2203.000000,741.483940,2224.451819,0.000000,t001_0_1
11A,3339657.000000,1995.016129,4095.000000,50.000000,4045.000000,1608.038461,4824.115384,2659963.000000,1588.986260,2418.000000,234.000000,2184.000000,712.283793,2136.851380,0.000000,t001_0_1
12A,2827190.000000,1688.882915,4095.000000,28.000000,4067.000000,1592.250593,4776.751779,2694118.000000,1609.389486,2433.000000,222.000000,2211.000000,717.256364,2151.769092,0.000000,t001_0_1
13A,3188725.000000,1904.853644,4095.000000,33.000000,4062.000000,1570.991563,4712.974689,2535098.000000,1514.395460,2462.000000,222.000000,2240.000000,774.782147,2324.346441,0.000000,t001_0_1
14A,2794558.000000,1669.389486,4095.000000,28.000000,4067.000000,1608.296321,4824.888962,2644654.000000,1579.841099,2482.000000,216.000000,2266.000000,772.143946,2316.431838,0.000000,t001_0_1
15A,1753237.000000,1047.333931,4095.000000,39.000000,4056.000000,1044.920468,3134.761403,2999978.000000,1792.101553,2489.000000,251.000000,2238.000000,730.777434,2192.332303,0.000000,t001_0_1
16A,1249270.000000,746.278375,4095.000000,25.000000,4070.000000,653.498354,1960.495063,3189704.000000,1905.438471,2502.000000,238.000000,2264.000000,693.747016,2081.241048,0.000000,t001_0_1
17A,1407072.000000,840.544803,4095.000000,31.000000,4064.000000,669.534545,2008.603636,2927318.000000,1748.696535,2509.000000,251.000000,2258.000000,784.587200,2353.761599,0.000000,t001_0_1
18A,1079742.000000,645.007168,2667.000000,28.000000,2639.000000,510.615641,1531.846924,3392321.000000,2026.476105,2511.000000,303.000000,2208.000000,575.294872,1725.884616,0.000000,t001_0_1
19A,1155345.000000,690.170251,2481.000000,28.000000,2453.000000,474.118915,1422.356746,3433291.000000,2050.950418,2481.000000,261.000000,2220.000000,543.308100,1629.924299,0.000000,t001_0_1
20A,61379.000000,36.666069,154.000000,25.000000,129.000000,15.852108,47.556324,3998723.000000,2388.723417,2424.000000,2353.000000,71.000000,12.454432,37.363295,0.000000,t001_0_1
1A,3646136.000000,2178.097969,4095.000000,34.000000,4061.000000,1508.449416,4525.348249,2449623.000000,1463.335125,1790.000000,652.000000,1138.000000,227.502196,682.506587,0.697268,t002_0_1
