ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,876647.000000,1877018.000000,0.000000,t001_0_1
2A,828461.000000,1919861.000000,0.000000,t001_0_1
3A,664418.000000,1673872.000000,0.000000,t001_0_1
4A,650787.000000,1655810.000000,0.000000,t001_0_1
5A,588677.000000,1925362.000000,0.000000,t001_0_1
6A,742518.000000,2336983.000000,0.000000,t001_0_1
7A,590036.000000,2122689.000000,0.000000,t001_0_1
8A,710213.000000,2737411.000000,0.000000,t001_0_1
9A,529610.000000,2941096.000000,0.000000,t001_0_1
10A,316229.000000,2995619.000000,0.000000,t001_0_1
11A,100535.000000,3324827.000000,0.000000,t001_0_1
1A,880073.000000,1883563.000000,0.598596,t002_0_1
2A,822046.000000,1935425.000000,0.598596,t002_0_1
3A,668256.000000,1624617.000000,0.598596,t002_0_1
4A,662827.000000,1673507.000000,0.598596,t002_0_1
5A,599295.000000,1920777.000000,0.598596,t002_0_1
6A,747806.000000,2276994.000000,0.598596,t002_0_1
7A,608685.000000,2146757.000000,0.598596,t002_0_1
8A,701270.000000,2741795.000000,0.598596,t002_0_1
9A,473617.000000,2964455.000000,0.598596,t002_0_1
10A,334395.000000,2991252.000000,0.598596,t002_0_1
11A,104939.000000,3321547.000000,0.598596,t002_0_1
1A,882901.000000,1862655.000000,1.197192,t003_0_1
2A,825389.000000,1952226.000000,1.197192,t003_0_1
3A,678706.000000,1655541.000000,1.197192,t003_0_1
4A,662921.000000,1713672.000000,1.197192,t003_0_1
5A,640569.000000,1957403.000000,1.197192,t003_0_1
6A,792697.000000,2347277.000000,1.197192,t003_0_1
7A,613472.000000,2134638.000000,1.197192,t003_0_1
8A,644603.000000,2738410.000000,1.197192,t003_0_1
9A,436008.000000,2983314.000000,1.197192,t003_0_1
10A,335633.000000,2990833.000000,1.197192,t003_0_1
11A,102544.000000,3316265.000000,1.197192,t003_0_1
1A,893297.000000,1860466.000000,1.795788,t004_0_1
2A,817355.000000,1966121.000000,1.795788,t004_0_1
3A,677109.000000,1684438.000000,1.795788,t004_0_1
4A,669723.000000,1698661.000000,1.795788,t004_0_1
5A,623980.000000,1907487.000000,1.795788,t004_0_1
6A,710499.000000,2290293.000000,1.795788,t004_0_1
7A,639565.000000,2136061.000000,1.795788,t004_0_1
8A,608711.000000,2742497.000000,1.795788,t004_0_1
9A,427604.000000,2968760.000000,1.795788,t004_0_1
10A,330797.000000,2983654.000000,1.795788,t004_0_1
11A,103796.000000,3310999.000000,1.795788,t004_0_1
1A,878216.000000,1892130.000000,2.394384,t005_0_1
2A,807764.000000,1965978.000000,2.394384,t005_0_1
3A,676767.000000,1651675.000000,2.394384,t005_0_1
4A,677497.000000,1669655.000000,2.394384,t005_0_1
5A,618423.000000,1937640.000000,2.394384,t005_0_1
6A,725578.000000,2289796.000000,2.394384,t005_0_1
7A,636904.000000,2135721.000000,2.394384,t005_0_1
8A,623948.000000,2745923.000000,2.394384,t005_0_1
9A,452923.000000,2973842.000000,2.394384,t005_0_1
10A,322974.000000,2992097.000000,2.394384,t005_0_1
11A,100866.000000,3324690.000000,2.394384,t005_0_1
1A,854474.000000,1891868.000000,2.992980,t006_0_1
2A,815466.000000,1956890.000000,2.992980,t006_0_1
3A,688931.000000,1627533.000000,2.992980,t006_0_1
4A,666721.000000,1684641.000000,2.992980,t006_0_1
5A,609484.000000,1921921.000000,2.992980,t006_0_1
6A,772132.000000,2323722.000000,2.992980,t006_0_1
7A,631459.000000,2169674.000000,2.992980,t006_0_1
8A,669360.000000,2748947.000000,2.992980,t006_0_1
9A,510419.000000,2957370.000000,2.992980,t006_0_1
10A,307775.000000,2988467.000000,2.992980,t006_0_1
11A,104348.000000,3316155.000000,2.992980,t006_0_1
1A,845270.000000,1845734.000000,3.591576,t007_0_1
