ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,838073.000000,1977730.000000,0.000000,t001_0_1
2A,1047296.000000,1941575.000000,0.000000,t001_0_1
3A,977146.000000,2081683.000000,0.000000,t001_0_1
4A,1069513.000000,2180794.000000,0.000000,t001_0_1
5A,729884.000000,2307921.000000,0.000000,t001_0_1
6A,595036.000000,2300575.000000,0.000000,t001_0_1
7A,547418.000000,2411812.000000,0.000000,t001_0_1
8A,462818.000000,2443042.000000,0.000000,t001_0_1
9A,464992.000000,2533707.000000,0.000000,t001_0_1
10A,319731.000000,2584944.000000,0.000000,t001_0_1
11A,165087.000000,3063842.000000,0.000000,t001_0_1
1A,846800.000000,2015314.000000,0.641424,t002_0_1
2A,1025121.000000,1958408.000000,0.641424,t002_0_1
3A,950201.000000,2075305.000000,0.641424,t002_0_1
4A,1028435.000000,2156409.000000,0.641424,t002_0_1
5A,714553.000000,2275032.000000,0.641424,t002_0_1
6A,582948.000000,2302647.000000,0.641424,t002_0_1
7A,554325.000000,2399939.000000,0.641424,t002_0_1
8A,471520.000000,2440224.000000,0.641424,t002_0_1
9A,456778.000000,2540454.000000,0.641424,t002_0_1
10A,313423.000000,2589261.000000,0.641424,t002_0_1
11A,169431.000000,3062048.000000,0.641424,t002_0_1
1A,846086.000000,1965760.000000,1.282848,t003_0_1
2A,1029751.000000,1958147.000000,1.282848,t003_0_1
3A,941343.000000,2086156.000000,1.282848,t003_0_1
4A,992860.000000,2178956.000000,1.282848,t003_0_1
5A,715544.000000,2320365.000000,1.282848,t003_0_1
6A,589759.000000,2329491.000000,1.282848,t003_0_1
7A,548713.000000,2416776.000000,1.282848,t003_0_1
8A,471696.000000,2443082.000000,1.282848,t003_0_1
9A,434251.000000,2539490.000000,1.282848,t003_0_1
10A,306519.000000,2588308.000000,1.282848,t003_0_1
11A,162805.000000,3062542.000000,1.282848,t003_0_1
1A,827963.000000,2012302.000000,1.924272,t004_0_1
2A,995581.000000,1956842.000000,1.924272,t004_0_1
3A,941556.000000,2076466.000000,1.924272,t004_0_1
4A,969237.000000,2173893.000000,1.924272,t004_0_1
5A,711293.000000,2302809.000000,1.924272,t004_0_1
6A,590159.000000,2314777.000000,1.924272,t004_0_1
7A,548986.000000,2410902.000000,1.924272,t004_0_1
8A,473350.000000,2445545.000000,1.924272,t004_0_1
9A,438646.000000,2536533.000000,1.924272,t004_0_1
10A,297243.000000,2581602.000000,1.924272,t004_0_1
11A,168661.000000,3063045.000000,1.924272,t004_0_1
1A,829167.000000,2019938.000000,2.565696,t005_0_1
2A,1006224.000000,1953814.000000,2.565696,t005_0_1
3A,965933.000000,2080672.000000,2.565696,t005_0_1
4A,958071.000000,2177594.000000,2.565696,t005_0_1
5A,692417.000000,2320379.000000,2.565696,t005_0_1
6A,589564.000000,2332012.000000,2.565696,t005_0_1
7A,550365.000000,2428522.000000,2.565696,t005_0_1
8A,487455.000000,2435658.000000,2.565696,t005_0_1
9A,440372.000000,2539105.000000,2.565696,t005_0_1
10A,293961.000000,2583729.000000,2.565696,t005_0_1
11A,164253.000000,3065700.000000,2.565696,t005_0_1
1A,825911.000000,2024207.000000,3.207120,t006_0_1
2A,1020162.000000,1937730.000000,3.207120,t006_0_1
3A,968785.000000,2103640.000000,3.207120,t006_0_1
4A,964771.000000,2169582.000000,3.207120,t006_0_1
5A,672134.000000,2283670.000000,3.207120,t006_0_1
6A,571202.000000,2329989.000000,3.207120,t006_0_1
7A,556464.000000,2424864.000000,3.207120,t006_0_1
8A,477145.000000,2448395.000000,3.207120,t006_0_1
9A,437916.000000,2543438.000000,3.207120,t006_0_1
10A,294445.000000,2589693.000000,3.207120,t006_0_1
11A,166266.000000,3070719.000000,3.207120,t006_0_1
1A,832838.000000,1999480.000000,3.848544,t007_0_1
2A,1023802.000000,1959426.000000,3.848544,t007_0_1
3A,952779.000000,2078721.000000,3.848544,t007_0_1
4A,968401.000000,2142169.000000,3.848544,t007_0_1
5A,659502.000000,2286357.000000,3.848544,t007_0_1
6A,562036.000000,2329144.000000,3.848544,t007_0_1
7A,561339.000000,2432226.000000,3.848544,t007_0_1
8A,479115.000000,2442645.000000,3.848544,t007_0_1
9A,434520.000000,2546075.000000,3.848544,t007_0_1
10A,299360.000000,2590204.000000,3.848544,t007_0_1
11A,165483.000000,3068325.000000,3.848544,t007_0_1
1A,838734.000000,2013842.000000,4.489968,t008_0_1
2A,1043741.000000,1922869.000000,4.489968,t008_0_1
3A,946943.000000,2110304.000000,4.489968,t008_0_1
4A,959589.000000,2173538.000000,4.489968,t008_0_1
5A,659479.000000,2275297.000000,4.489968,t008_0_1
6A,555029.000000,2337173.000000,4.489968,t008_0_1
7A,564036.000000,2436601.000000,4.489968,t008_0_1
8A,474815.000000,2435528.000000,4.489968,t008_0_1
9A,435269.000000,2542835.000000,4.489968,t008_0_1
10A,296375.000000,2583127.000000,4.489968,t008_0_1
11A,165161.000000,3064240.000000,4.489968,t008_0_1
1A,876810.000000,2010477.000000,5.131392,t009_0_1
2A,1058250.000000,1925042.000000,5.131392,t009_0_1
3A,952719.000000,2093380.000000,5.131392,t009_0_1
4A,914923.000000,2122894.000000,5.131392,t009_0_1
5A,653081.000000,2314900.000000,5.131392,t009_0_1
6A,535156.000000,2336223.000000,5.131392,t009_0_1
7A,546386.000000,2409362.000000,5.131392,t009_0_1
8A,477982.000000,2427263.000000,5.131392,t009_0_1
9A,430802.000000,2534835.000000,5.131392,t009_0_1
10A,305326.000000,2576571.000000,5.131392,t009_0_1
11A,164079.000000,3051836.000000,5.131392,t009_0_1
1A,919354.000000,1938637.000000,5.772816,t010_0_1
2A,1076828.000000,1940267.000000,5.772816,t010_0_1
3A,936594.000000,2093840.000000,5.772816,t010_0_1
4A,863621.000000,2246703.000000,5.772816,t010_0_1
5A,620036.000000,2315642.000000,5.772816,t010_0_1
6A,538612.000000,2336999.000000,5.772816,t010_0_1
7A,547071.000000,2402846.000000,5.772816,t010_0_1
8A,445072.000000,2404727.000000,5.772816,t010_0_1
9A,427191.000000,2530912.000000,5.772816,t010_0_1
10A,302716.000000,2568291.000000,5.772816,t010_0_1
11A,163529.000000,3045505.000000,5.772816,t010_0_1
1A,973959.000000,1991333.000000,6.414240,t011_0_1
2A,1076693.000000,1960547.000000,6.414240,t011_0_1
3A,873363.000000,2123594.000000,6.414240,t011_0_1
4A,813296.000000,2272394.000000,6.414240,t011_0_1
5A,609543.000000,2319310.000000,6.414240,t011_0_1
6A,518407.000000,2293552.000000,6.414240,t011_0_1
7A,531659.000000,2406353.000000,6.414240,t011_0_1
8A,419185.000000,2423571.000000,6.414240,t011_0_1
9A,429643.000000,2539614.000000,6.414240,t011_0_1
10A,331534.000000,2569567.000000,6.414240,t011_0_1
11A,161384.000000,3053427.000000,6.414240,t011_0_1
1A,933979.000000,2000072.000000,7.055664,t012_0_1
2A,1050676.000000,1938621.000000,7.055664,t012_0_1
3A,823162.000000,2156127.000000,7.055664,t012_0_1
4A,787990.000000,2273392.000000,7.055664,t012_0_1
5A,575308.000000,2296245.000000,7.055664,t012_0_1
6A,498148.000000,2316990.000000,7.055664,t012_0_1
7A,522872.000000,2422551.000000,7.055664,t012_0_1
8A,411933.000000,2429077.000000,7.055664,t012_0_1
9A,429998.000000,2541400.000000,7.055664,t012_0_1
10A,325965.000000,2566178.000000,7.055664,t012_0_1
11A,168297.000000,3055270.000000,7.055664,t012_0_1
1A,931242.000000,1938405.000000,7.697088,t013_0_1
2A,971951.000000,1963098.000000,7.697088,t013_0_1
3A,814969.000000,2164065.000000,7.697088,t013_0_1
4A,768831.000000,2271685.000000,7.697088,t013_0_1
5A,571791.000000,2321706.000000,7.697088,t013_0_1
6A,485883.000000,2266822.000000,7.697088,t013_0_1
7A,511133.000000,2403634.000000,7.697088,t013_0_1
8A,425190.000000,2410574.000000,7.697088,t013_0_1
9A,433446.000000,2539944.000000,7.697088,t013_0_1
10A,316060.000000,2571717.000000,7.697088,t013_0_1
11A,166150.000000,3051695.000000,7.697088,t013_0_1
1A,929026.000000,1978616.000000,8.338512,t014_0_1
2A,960359.000000,1985164.000000,8.338512,t014_0_1
3A,805704.000000,2120924.000000,8.338512,t014_0_1
4A,748192.000000,2216880.000000,8.338512,t014_0_1
5A,556718.000000,2325274.000000,8.338512,t014_0_1
6A,469709.000000,2311177.000000,8.338512,t014_0_1
7A,507400.000000,2378576.000000,8.338512,t014_0_1
8A,443318.000000,2451438.000000,8.338512,t014_0_1
9A,424418.000000,2542587.000000,8.338512,t014_0_1
10A,306455.000000,2574071.000000,8.338512,t014_0_1
11A,162372.000000,3053099.000000,8.338512,t014_0_1
1A,912367.000000,1918387.000000,8.979936,t015_0_1
2A,941093.000000,1976399.000000,8.979936,t015_0_1
3A,793163.000000,2114504.000000,8.979936,t015_0_1
4A,758237.000000,2262203.000000,8.979936,t015_0_1
5A,559913.000000,2309693.000000,8.979936,t015_0_1
6A,479784.000000,2311849.000000,8.979936,t015_0_1
7A,519511.000000,2393566.000000,8.979936,t015_0_1
8A,449577.000000,2442214.000000,8.979936,t015_0_1
9A,419527.000000,2537783.000000,8.979936,t015_0_1
10A,286749.000000,2572072.000000,8.979936,t015_0_1
11A,162868.000000,3056815.000000,8.979936,t015_0_1
1A,916577.000000,1956911.000000,9.621360,t016_0_1
2A,953934.000000,1976414.000000,9.621360,t016_0_1
3A,823457.000000,2103936.000000,9.621360,t016_0_1
4A,748898.000000,2254032.000000,9.621360,t016_0_1
5A,557836.000000,2321878.000000,9.621360,t016_0_1
6A,489016.000000,2316034.000000,9.621360,t016_0_1
7A,526697.000000,2404183.000000,9.621360,t016_0_1
8A,461931.000000,2435541.000000,9.621360,t016_0_1
9A,420437.000000,2537441.000000,9.621360,t016_0_1
10A,287751.000000,2574518.000000,9.621360,t016_0_1
11A,165824.000000,3053599.000000,9.621360,t016_0_1
1A,916414.000000,1961286.000000,10.262784,t017_0_1
2A,962974.000000,1967995.000000,10.262784,t017_0_1
3A,812681.000000,2112835.000000,10.262784,t017_0_1
4A,746318.000000,2261161.000000,10.262784,t017_0_1
5A,554773.000000,2316348.000000,10.262784,t017_0_1
6A,474798.000000,2310498.000000,10.262784,t017_0_1
7A,514118.000000,2421926.000000,10.262784,t017_0_1
8A,469379.000000,2422376.000000,10.262784,t017_0_1
9A,423902.000000,2530037.000000,10.262784,t017_0_1
10A,289104.000000,2572406.000000,10.262784,t017_0_1
11A,168472.000000,3054249.000000,10.262784,t017_0_1
1A,930144.000000,1942913.000000,10.904208,t018_0_1
2A,960998.000000,1949093.000000,10.904208,t018_0_1
3A,808525.000000,2101478.000000,10.904208,t018_0_1
4A,770061.000000,2242011.000000,10.904208,t018_0_1
5A,503616.000000,2264391.000000,10.904208,t018_0_1
6A,445943.000000,2309620.000000,10.904208,t018_0_1
7A,531546.000000,2423473.000000,10.904208,t018_0_1
8A,466951.000000,2420421.000000,10.904208,t018_0_1
9A,437164.000000,2531778.000000,10.904208,t018_0_1
10A,292180.000000,2571367.000000,10.904208,t018_0_1
11A,168586.000000,3051771.000000,10.904208,t018_0_1
1A,900889.000000,1942758.000000,11.545632,t019_0_1
2A,930379.000000,1968381.000000,11.545632,t019_0_1
3A,817016.000000,2137897.000000,11.545632,t019_0_1
4A,745000.000000,2231925.000000,11.545632,t019_0_1
5A,428826.000000,2293930.000000,11.545632,t019_0_1
6A,386507.000000,2262476.000000,11.545632,t019_0_1
7A,522339.000000,2390420.000000,11.545632,t019_0_1
8A,461264.000000,2411670.000000,11.545632,t019_0_1
9A,441338.000000,2530133.000000,11.545632,t019_0_1
10A,309040.000000,2565572.000000,11.545632,t019_0_1
11A,166575.000000,3058133.000000,11.545632,t019_0_1
1A,881320.000000,1997909.000000,12.187056,t020_0_1
2A,950998.000000,1958251.000000,12.187056,t020_0_1
3A,796214.000000,2125904.000000,12.187056,t020_0_1
4A,747370.000000,2265571.000000,12.187056,t020_0_1
5A,407110.000000,2312113.000000,12.187056,t020_0_1
6A,367944.000000,2296064.000000,12.187056,t020_0_1
7A,518069.000000,2383858.000000,12.187056,t020_0_1
8A,472345.000000,2410798.000000,12.187056,t020_0_1
9A,453258.000000,2544205.000000,12.187056,t020_0_1
