ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,489716.000000,2051014.000000,0.000000,t001_0_1
2A,495232.000000,1850940.000000,0.000000,t001_0_1
3A,457930.000000,2272246.000000,0.000000,t001_0_1
4A,447045.000000,2308629.000000,0.000000,t001_0_1
5A,268637.000000,2509706.000000,0.000000,t001_0_1
6A,263886.000000,2669838.000000,0.000000,t001_0_1
7A,255379.000000,2742730.000000,0.000000,t001_0_1
8A,314166.000000,2853824.000000,0.000000,t001_0_1
9A,372487.000000,2891341.000000,0.000000,t001_0_1
10A,255832.000000,2900818.000000,0.000000,t001_0_1
11A,72854.000000,3227209.000000,0.000000,t001_0_1
1A,498936.000000,2080125.000000,0.641424,t002_0_1
2A,517333.000000,1987760.000000,0.641424,t002_0_1
3A,462949.000000,2246480.000000,0.641424,t002_0_1
4A,455175.000000,2296745.000000,0.641424,t002_0_1
5A,258901.000000,2517714.000000,0.641424,t002_0_1
6A,256181.000000,2583777.000000,0.641424,t002_0_1
7A,272748.000000,2681332.000000,0.641424,t002_0_1
8A,315930.000000,2847614.000000,0.641424,t002_0_1
9A,364855.000000,2884818.000000,0.641424,t002_0_1
10A,250264.000000,2903297.000000,0.641424,t002_0_1
11A,73837.000000,3232906.000000,0.641424,t002_0_1
1A,489044.000000,2106419.000000,1.282848,t003_0_1
2A,503750.000000,1886075.000000,1.282848,t003_0_1
3A,458458.000000,2159337.000000,1.282848,t003_0_1
4A,448254.000000,2370488.000000,1.282848,t003_0_1
5A,247714.000000,2477751.000000,1.282848,t003_0_1
6A,257152.000000,2572381.000000,1.282848,t003_0_1
7A,282320.000000,2672653.000000,1.282848,t003_0_1
8A,315471.000000,2846506.000000,1.282848,t003_0_1
9A,353473.000000,2877110.000000,1.282848,t003_0_1
10A,254375.000000,2900770.000000,1.282848,t003_0_1
11A,71228.000000,3228585.000000,1.282848,t003_0_1
1A,499692.000000,2101885.000000,1.924272,t004_0_1
2A,505153.000000,1922420.000000,1.924272,t004_0_1
3A,465935.000000,2262162.000000,1.924272,t004_0_1
4A,445847.000000,2325895.000000,1.924272,t004_0_1
5A,251746.000000,2448404.000000,1.924272,t004_0_1
6A,265556.000000,2582528.000000,1.924272,t004_0_1
7A,280006.000000,2686344.000000,1.924272,t004_0_1
8A,317038.000000,2861441.000000,1.924272,t004_0_1
9A,346386.000000,2884848.000000,1.924272,t004_0_1
10A,253504.000000,2903020.000000,1.924272,t004_0_1
11A,71596.000000,3225659.000000,1.924272,t004_0_1
1A,493158.000000,2062073.000000,2.565696,t005_0_1
2A,521179.000000,1928884.000000,2.565696,t005_0_1
3A,446450.000000,2205345.000000,2.565696,t005_0_1
4A,435929.000000,2310599.000000,2.565696,t005_0_1
5A,251680.000000,2456799.000000,2.565696,t005_0_1
6A,256832.000000,2575562.000000,2.565696,t005_0_1
7A,277141.000000,2686347.000000,2.565696,t005_0_1
8A,312561.000000,2859824.000000,2.565696,t005_0_1
9A,334370.000000,2887401.000000,2.565696,t005_0_1
10A,261938.000000,2899508.000000,2.565696,t005_0_1
11A,72222.000000,3227011.000000,2.565696,t005_0_1
1A,493353.000000,2039876.000000,3.207120,t006_0_1
2A,515188.000000,1969518.000000,3.207120,t006_0_1
3A,439478.000000,2265411.000000,3.207120,t006_0_1
4A,436132.000000,2354172.000000,3.207120,t006_0_1
5A,265340.000000,2485708.000000,3.207120,t006_0_1
6A,272054.000000,2614264.000000,3.207120,t006_0_1
7A,289612.000000,2662736.000000,3.207120,t006_0_1
8A,318247.000000,2856754.000000,3.207120,t006_0_1
9A,311076.000000,2886136.000000,3.207120,t006_0_1
10A,267110.000000,2913504.000000,3.207120,t006_0_1
11A,72336.000000,3229178.000000,3.207120,t006_0_1
1A,507183.000000,2079291.000000,3.848544,t007_0_1
2A,511956.000000,1896130.000000,3.848544,t007_0_1
3A,451157.000000,2183592.000000,3.848544,t007_0_1
4A,426617.000000,2325327.000000,3.848544,t007_0_1
5A,267576.000000,2356138.000000,3.848544,t007_0_1
6A,262150.000000,2543680.000000,3.848544,t007_0_1
7A,299119.000000,2656841.000000,3.848544,t007_0_1
8A,296620.000000,2876246.000000,3.848544,t007_0_1
9A,290450.000000,2898738.000000,3.848544,t007_0_1
10A,262130.000000,2934218.000000,3.848544,t007_0_1
11A,72151.000000,3222976.000000,3.848544,t007_0_1
1A,495139.000000,2059412.000000,4.489968,t008_0_1
2A,512009.000000,1923171.000000,4.489968,t008_0_1
3A,459836.000000,2285123.000000,4.489968,t008_0_1
4A,431949.000000,2350459.000000,4.489968,t008_0_1
5A,271998.000000,2399725.000000,4.489968,t008_0_1
6A,275026.000000,2555870.000000,4.489968,t008_0_1
7A,296751.000000,2637715.000000,4.489968,t008_0_1
8A,285422.000000,2886913.000000,4.489968,t008_0_1
9A,306308.000000,2905034.000000,4.489968,t008_0_1
10A,270407.000000,2929921.000000,4.489968,t008_0_1
11A,72169.000000,3221746.000000,4.489968,t008_0_1
1A,497957.000000,2070672.000000,5.131392,t009_0_1
2A,506684.000000,1834865.000000,5.131392,t009_0_1
3A,457933.000000,2229608.000000,5.131392,t009_0_1
4A,437519.000000,2299127.000000,5.131392,t009_0_1
5A,278532.000000,2404161.000000,5.131392,t009_0_1
6A,279484.000000,2567174.000000,5.131392,t009_0_1
7A,267495.000000,2673488.000000,5.131392,t009_0_1
8A,272561.000000,2892690.000000,5.131392,t009_0_1
9A,340430.000000,2903728.000000,5.131392,t009_0_1
10A,279417.000000,2893610.000000,5.131392,t009_0_1
11A,71971.000000,3225854.000000,5.131392,t009_0_1
1A,498393.000000,2076569.000000,5.772816,t010_0_1
2A,503075.000000,1882105.000000,5.772816,t010_0_1
3A,453911.000000,2266360.000000,5.772816,t010_0_1
