ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,2552316.000000,2104078.000000,0.000000,t001_0_1
2A,2424560.000000,2160164.000000,0.000000,t001_0_1
3A,1604444.000000,2503027.000000,0.000000,t001_0_1
4A,2806937.000000,2664264.000000,0.000000,t001_0_1
5A,1442729.000000,2858921.000000,0.000000,t001_0_1
6A,895076.000000,2576427.000000,0.000000,t001_0_1
7A,683130.000000,2673840.000000,0.000000,t001_0_1
8A,694480.000000,2716729.000000,0.000000,t001_0_1
9A,592449.000000,2661426.000000,0.000000,t001_0_1
10A,622464.000000,2774184.000000,0.000000,t001_0_1
11A,1115286.000000,3008732.000000,0.000000,t001_0_1
12A,2128252.000000,2915272.000000,0.000000,t001_0_1
13A,2086537.000000,2979423.000000,0.000000,t001_0_1
14A,1835953.000000,2977609.000000,0.000000,t001_0_1
15A,1354160.000000,2976192.000000,0.000000,t001_0_1
16A,690455.000000,3276292.000000,0.000000,t001_0_1
17A,474178.000000,3285305.000000,0.000000,t001_0_1
18A,869858.000000,3508016.000000,0.000000,t001_0_1
19A,249235.000000,3496100.000000,0.000000,t001_0_1
20A,58985.000000,3839564.000000,0.000000,t001_0_1
1A,2538562.000000,2102826.000000,0.737748,t002_0_1
2A,2418415.000000,2157396.000000,0.737748,t002_0_1
3A,1613061.000000,2484629.000000,0.737748,t002_0_1
4A,2811858.000000,2695367.000000,0.737748,t002_0_1
5A,1463461.000000,2830225.000000,0.737748,t002_0_1
6A,867667.000000,2565469.000000,0.737748,t002_0_1
7A,680995.000000,2687491.000000,0.737748,t002_0_1
8A,684814.000000,2707404.000000,0.737748,t002_0_1
9A,594839.000000,2692220.000000,0.737748,t002_0_1
10A,625848.000000,2768275.000000,0.737748,t002_0_1
11A,1108574.000000,2979799.000000,0.737748,t002_0_1
12A,2140131.000000,2917017.000000,0.737748,t002_0_1
13A,2090464.000000,3000578.000000,0.737748,t002_0_1
14A,1837776.000000,2953732.000000,0.737748,t002_0_1
15A,1359493.000000,2964266.000000,0.737748,t002_0_1
16A,695394.000000,3265119.000000,0.737748,t002_0_1
17A,469117.000000,3275237.000000,0.737748,t002_0_1
18A,849698.000000,3489238.000000,0.737748,t002_0_1
19A,249590.000000,3485007.000000,0.737748,t002_0_1
20A,59780.000000,3838511.000000,0.737748,t002_0_1
1A,2550457.000000,2102952.000000,1.475496,t003_0_1
2A,2381728.000000,2158064.000000,1.475496,t003_0_1
3A,1602194.000000,2470242.000000,1.475496,t003_0_1
4A,2809456.000000,2666252.000000,1.475496,t003_0_1
5A,1445937.000000,2820884.000000,1.475496,t003_0_1
6A,861361.000000,2556059.000000,1.475496,t003_0_1
7A,687787.000000,2702856.000000,1.475496,t003_0_1
8A,704226.000000,2721378.000000,1.475496,t003_0_1
9A,592668.000000,2687030.000000,1.475496,t003_0_1
10A,623700.000000,2770789.000000,1.475496,t003_0_1
11A,1113344.000000,3012452.000000,1.475496,t003_0_1
12A,2131654.000000,2930963.000000,1.475496,t003_0_1
13A,2075487.000000,3002415.000000,1.475496,t003_0_1
14A,1821985.000000,2959685.000000,1.475496,t003_0_1
15A,1323690.000000,2950513.000000,1.475496,t003_0_1
16A,679969.000000,3225119.000000,1.475496,t003_0_1
17A,465570.000000,3268521.000000,1.475496,t003_0_1
18A,855265.000000,3476166.000000,1.475496,t003_0_1
19A,252496.000000,3477655.000000,1.475496,t003_0_1
20A,59771.000000,3829938.000000,1.475496,t003_0_1
1A,2556180.000000,2105662.000000,2.213244,t004_0_1
2A,2399508.000000,2163847.000000,2.213244,t004_0_1
3A,1612662.000000,2512300.000000,2.213244,t004_0_1
