ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
1A,3055794.000000,1825.444444,4095.000000,149.000000,643470.000000,384.390681,533.000000,243.000000,0.000000,t001_0_1
2A,3640533.000000,2174.750896,4095.000000,150.000000,693967.000000,414.556153,539.000000,155.000000,0.000000,t001_0_1
3A,4652981.000000,2779.558542,4095.000000,151.000000,690626.000000,412.560335,547.000000,136.000000,0.000000,t001_0_1
4A,4109129.000000,2454.676822,4095.000000,150.000000,648044.000000,387.123059,550.000000,128.000000,0.000000,t001_0_1
5A,3646839.000000,2178.517921,4095.000000,155.000000,643595.000000,384.465352,550.000000,115.000000,0.000000,t001_0_1
6A,2357972.000000,1408.585424,4095.000000,156.000000,653716.000000,390.511350,554.000000,116.000000,0.000000,t001_0_1
7A,1782936.000000,1065.075269,4095.000000,150.000000,702092.000000,419.409797,553.000000,124.000000,0.000000,t001_0_1
8A,1805145.000000,1078.342294,4095.000000,154.000000,719235.000000,429.650538,555.000000,121.000000,0.000000,t001_0_1
9A,1073779.000000,641.445042,3032.000000,151.000000,726362.000000,433.908005,555.000000,122.000000,0.000000,t001_0_1
10A,1005083.000000,600.408005,2025.000000,153.000000,728571.000000,435.227599,556.000000,117.000000,0.000000,t001_0_1
11A,1073989.000000,641.570490,2236.000000,152.000000,677736.000000,404.860215,558.000000,120.000000,0.000000,t001_0_1
12A,1181562.000000,705.831541,2796.000000,153.000000,691186.000000,412.894863,556.000000,117.000000,0.000000,t001_0_1
13A,1021662.000000,610.311828,3527.000000,151.000000,658991.000000,393.662485,558.000000,114.000000,0.000000,t001_0_1
14A,992130.000000,592.670251,2613.000000,150.000000,699030.000000,417.580645,557.000000,120.000000,0.000000,t001_0_1
15A,856529.000000,511.666069,2810.000000,153.000000,715392.000000,427.354839,562.000000,122.000000,0.000000,t001_0_1
16A,725369.000000,433.314815,3004.000000,153.000000,747832.000000,446.733572,562.000000,118.000000,0.000000,t001_0_1
17A,634816.000000,379.221027,1727.000000,152.000000,746038.000000,445.661888,564.000000,122.000000,0.000000,t001_0_1
18A,672033.000000,401.453405,2789.000000,151.000000,783329.000000,467.938471,563.000000,190.000000,0.000000,t001_0_1
19A,712437.000000,425.589606,3595.000000,150.000000,768197.000000,458.899044,556.000000,140.000000,0.000000,t001_0_1
20A,261441.000000,156.177419,263.000000,148.000000,908510.000000,542.718041,559.000000,528.000000,0.000000,t001_0_1
1A,3051080.000000,1822.628435,4095.000000,149.000000,644223.000000,384.840502,528.000000,247.000000,0.659448,t002_0_1
2A,3590189.000000,2144.676822,4095.000000,149.000000,691979.000000,413.368578,544.000000,154.000000,0.659448,t002_0_1
3A,4639238.000000,2771.348865,4095.000000,153.000000,690083.000000,412.235962,547.000000,140.000000,0.659448,t002_0_1
4A,4114405.000000,2457.828554,4095.000000,152.000000,648301.000000,387.276583,548.000000,125.000000,0.659448,t002_0_1
