ROI ID,Total Intensity,Time,Frame Id
15A,766434,5.525312,t009_0_1
16A,750688,5.525312,t009_0_1
17A,531472,5.525312,t009_0_1
18A,393837,5.525312,t009_0_1
19A,277277,5.525312,t009_0_1
20A,120582,5.525312,t009_0_1
1A,1648167,6.215976,t010_0_1
2A,2009456,6.215976,t010_0_1
3A,2762231,6.215976,t010_0_1
4A,3645585,6.215976,t010_0_1
5A,1935703,6.215976,t010_0_1
6A,2999834,6.215976,t010_0_1
7A,3324625,6.215976,t010_0_1
8A,2237156,6.215976,t010_0_1
9A,1673249,6.215976,t010_0_1
10A,1050092,6.215976,t010_0_1
11A,902783,6.215976,t010_0_1
12A,653089,6.215976,t010_0_1
13A,717387,6.215976,t010_0_1
14A,709087,6.215976,t010_0_1
15A,774555,6.215976,t010_0_1
16A,749577,6.215976,t010_0_1
17A,533695,6.215976,t010_0_1
18A,389918,6.215976,t010_0_1
19A,274031,6.215976,t010_0_1
20A,119135,6.215976,t010_0_1
1A,1662046,6.90664,t011_0_1
2A,2102724,6.90664,t011_0_1
3A,2689762,6.90664,t011_0_1
4A,3640517,6.90664,t011_0_1
5A,1945743,6.90664,t011_0_1
6A,2989399,6.90664,t011_0_1
7A,3296670,6.90664,t011_0_1
8A,2235605,6.90664,t011_0_1
9A,1676652,6.90664,t011_0_1
10A,1041217,6.90664,t011_0_1
11A,905236,6.90664,t011_0_1
12A,649275,6.90664,t011_0_1
13A,701480,6.90664,t011_0_1
14A,708968,6.90664,t011_0_1
15A,772519,6.90664,t011_0_1
16A,742992,6.90664,t011_0_1
17A,542085,6.90664,t011_0_1
18A,384596,6.90664,t011_0_1
19A,274948,6.90664,t011_0_1
20A,119671,6.90664,t011_0_1
1A,1610518,7.597304,t012_0_1
2A,2073656,7.597304,t012_0_1
3A,2653555,7.597304,t012_0_1
4A,3625567,7.597304,t012_0_1
5A,1946342,7.597304,t012_0_1
6A,3004455,7.597304,t012_0_1
7A,3307653,7.597304,t012_0_1
8A,2234569,7.597304,t012_0_1
9A,1672885,7.597304,t012_0_1
10A,1042480,7.597304,t012_0_1
11A,924874,7.597304,t012_0_1
12A,642228,7.597304,t012_0_1
13A,682221,7.597304,t012_0_1
14A,712783,7.597304,t012_0_1
15A,772084,7.597304,t012_0_1
16A,752989,7.597304,t012_0_1
17A,550116,7.597304,t012_0_1
18A,383140,7.597304,t012_0_1
19A,270911,7.597304,t012_0_1
20A,119784,7.597304,t012_0_1
1A,1542561,8.287968,t013_0_1
2A,2025492,8.287968,t013_0_1
3A,2765809,8.287968,t013_0_1
4A,3633558,8.287968,t013_0_1
5A,1930396,8.287968,t013_0_1
6A,2995670,8.287968,t013_0_1
7A,3306285,8.287968,t013_0_1
8A,2227371,8.287968,t013_0_1
9A,1665643,8.287968,t013_0_1
10A,1028415,8.287968,t013_0_1
11A,908902,8.287968,t013_0_1
12A,613618,8.287968,t013_0_1
13A,652464,8.287968,t013_0_1
14A,701986,8.287968,t013_0_1
15A,771059,8.287968,t013_0_1
16A,744227,8.287968,t013_0_1
17A,555260,8.287968,t013_0_1
18A,379349,8.287968,t013_0_1
19A,267003,8.287968,t013_0_1
20A,118039,8.287968,t013_0_1
1A,1531273,8.978632,t014_0_1
2A,2145575,8.978632,t014_0_1
3A,2689951,8.978632,t014_0_1
4A,3634591,8.978632,t014_0_1
5A,1934394,8.978632,t014_0_1
6A,3009514,8.978632,t014_0_1
7A,3307383,8.978632,t014_0_1
8A,2231212,8.978632,t014_0_1
9A,1663247,8.978632,t014_0_1
10A,1033932,8.978632,t014_0_1
11A,917216,8.978632,t014_0_1
12A,589575,8.978632,t014_0_1
