ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
4A,1643658.000000,746.777828,2800.000000,27.000000,3175282.000000,1442.654248,2090.000000,890.000000,1.256400,t003_0_1
5A,2071648.000000,941.230350,3906.000000,28.000000,2990099.000000,1358.518401,2051.000000,629.000000,1.256400,t003_0_1
6A,2119878.000000,963.143117,4095.000000,28.000000,2835234.000000,1288.157201,2021.000000,426.000000,1.256400,t003_0_1
7A,931860.000000,423.380282,2920.000000,52.000000,2796094.000000,1270.374375,1985.000000,336.000000,1.256400,t003_0_1
8A,1259528.000000,572.252612,2871.000000,63.000000,2899929.000000,1317.550659,1963.000000,261.000000,1.256400,t003_0_1
9A,1384925.000000,629.225352,2931.000000,59.000000,2645463.000000,1201.936847,1899.000000,283.000000,1.256400,t003_0_1
10A,1163949.000000,528.827351,2191.000000,59.000000,2339627.000000,1062.983644,1859.000000,247.000000,1.256400,t003_0_1
11A,1664803.000000,756.384825,2578.000000,68.000000,2524815.000000,1147.121763,1789.000000,270.000000,1.256400,t003_0_1
12A,2001152.000000,909.201272,2753.000000,76.000000,2402878.000000,1091.721036,1688.000000,256.000000,1.256400,t003_0_1
13A,1975736.000000,897.653794,2629.000000,68.000000,2439777.000000,1108.485688,1672.000000,263.000000,1.256400,t003_0_1
14A,1897152.000000,861.950023,2423.000000,64.000000,2646399.000000,1202.362108,1704.000000,250.000000,1.256400,t003_0_1
15A,1747301.000000,793.866879,2399.000000,73.000000,2597946.000000,1180.348024,1757.000000,275.000000,1.256400,t003_0_1
16A,1948634.000000,885.340300,2334.000000,71.000000,2620355.000000,1190.529305,1811.000000,314.000000,1.256400,t003_0_1
17A,1832848.000000,832.734212,2439.000000,61.000000,2736669.000000,1243.375284,1859.000000,290.000000,1.256400,t003_0_1
18A,1821766.000000,827.699228,2342.000000,61.000000,3049599.000000,1385.551567,1857.000000,336.000000,1.256400,t003_0_1
19A,750086.000000,340.793276,2000.000000,36.000000,3319718.000000,1508.277147,1931.000000,429.000000,1.256400,t003_0_1
20A,141333.000000,64.213085,169.000000,26.000000,4354814.000000,1978.561563,2064.000000,1908.000000,1.256400,t003_0_1
1A,320265.000000,145.508860,600.000000,23.000000,2865585.000000,1301.946842,2121.000000,834.000000,1.884600,t004_0_1
2A,447072.000000,203.122217,903.000000,25.000000,3240177.000000,1472.138573,2140.000000,947.000000,1.884600,t004_0_1
3A,854250.000000,388.119037,1393.000000,24.000000,3183763.000000,1446.507497,2124.000000,897.000000,1.884600,t004_0_1
4A,1685411.000000,765.747842,2696.000000,26.000000,3153239.000000,1432.639255,2084.000000,908.000000,1.884600,t004_0_1
5A,2106233.000000,956.943662,4047.000000,28.000000,2981387.000000,1354.560200,2048.000000,630.000000,1.884600,t004_0_1
6A,2218723.000000,1008.052249,4095.000000,30.000000,2826930.000000,1284.384371,2012.000000,430.000000,1.884600,t004_0_1
7A,982108.000000,446.209905,3044.000000,46.000000,2783227.000000,1264.528396,1996.000000,336.000000,1.884600,t004_0_1
8A,1268805.000000,576.467515,2814.000000,55.000000,2893316.000000,1314.546115,1950.000000,264.000000,1.884600,t004_0_1
9A,1385624.000000,629.542935,2861.000000,53.000000,2641668.000000,1200.212631,1897.000000,279.000000,1.884600,t004_0_1
10A,1162024.000000,527.952749,2199.000000,63.000000,2336279.000000,1061.462517,1856.000000,249.000000,1.884600,t004_0_1
11A,1672520.000000,759.890959,2580.000000,72.000000,2521954.000000,1145.821899,1781.000000,267.000000,1.884600,t004_0_1
12A,2006878.000000,911.802817,2812.000000,72.000000,2400545.000000,1090.661063,1686.000000,254.000000,1.884600,t004_0_1
13A,1975887.000000,897.722399,2632.000000,71.000000,2435669.000000,1106.619264,1673.000000,262.000000,1.884600,t004_0_1
14A,1894762.000000,860.864153,2477.000000,63.000000,2643508.000000,1201.048614,1691.000000,254.000000,1.884600,t004_0_1
15A,1744075.000000,792.401181,2414.000000,72.000000,2594236.000000,1178.662426,1753.000000,269.000000,1.884600,t004_0_1
16A,1956122.000000,888.742390,2398.000000,67.000000,2614966.000000,1188.080872,1822.000000,315.000000,1.884600,t004_0_1
17A,1826679.000000,829.931395,2352.000000,63.000000,2732117.000000,1241.307133,1847.000000,290.000000,1.884600,t004_0_1
18A,1821353.000000,827.511586,2388.000000,55.000000,3048424.000000,1385.017719,1852.000000,340.000000,1.884600,t004_0_1
19A,810838.000000,368.395275,2130.000000,38.000000,3300219.000000,1499.417992,1927.000000,416.000000,1.884600,t004_0_1
20A,141503.000000,64.290323,190.000000,27.000000,4356361.000000,1979.264425,2058.000000,1907.000000,1.884600,t004_0_1
1A,319968.000000,145.373921,564.000000,25.000000,2862650.000000,1300.613358,2132.000000,837.000000,2.512800,t005_0_1
2A,449740.000000,204.334393,919.000000,24.000000,3230562.000000,1467.770104,2132.000000,946.000000,2.512800,t005_0_1
3A,864328.000000,392.697865,1407.000000,24.000000,3169301.000000,1439.936847,2123.000000,888.000000,2.512800,t005_0_1
4A,1694369.000000,769.817810,2707.000000,26.000000,3135357.000000,1424.514766,2090.000000,907.000000,2.512800,t005_0_1
5A,2130333.000000,967.893230,4095.000000,28.000000,2971123.000000,1349.896865,2045.000000,631.000000,2.512800,t005_0_1
6A,2340291.000000,1063.285325,4095.000000,28.000000,2813722.000000,1278.383462,2010.000000,426.000000,2.512800,t005_0_1
7A,1053506.000000,478.648796,3092.000000,48.000000,2770626.000000,1258.803271,1975.000000,336.000000,2.512800,t005_0_1
8A,1256145.000000,570.715584,2731.000000,67.000000,2886977.000000,1311.666061,1945.000000,264.000000,2.512800,t005_0_1
9A,1388002.000000,630.623353,2880.000000,43.000000,2635814.000000,1197.552930,1887.000000,284.000000,2.512800,t005_0_1
10A,1166174.000000,529.838255,2346.000000,44.000000,2332961.000000,1059.955020,1846.000000,248.000000,2.512800,t005_0_1
11A,1656638.000000,752.675148,2571.000000,82.000000,2516574.000000,1143.377556,1772.000000,267.000000,2.512800,t005_0_1
12A,1994581.000000,906.215811,2693.000000,85.000000,2394778.000000,1088.040891,1674.000000,255.000000,2.512800,t005_0_1
13A,1963845.000000,892.251249,2637.000000,75.000000,2433314.000000,1105.549296,1660.000000,263.000000,2.512800,t005_0_1
14A,1893286.000000,860.193548,2472.000000,74.000000,2637386.000000,1198.267151,1695.000000,255.000000,2.512800,t005_0_1
15A,1740481.000000,790.768287,2378.000000,68.000000,2591199.000000,1177.282599,1750.000000,270.000000,2.512800,t005_0_1
16A,1943375.000000,882.950931,2369.000000,53.000000,2614466.000000,1187.853703,1802.000000,323.000000,2.512800,t005_0_1
17A,1822197.000000,827.895048,2429.000000,54.000000,2731230.000000,1240.904134,1857.000000,296.000000,2.512800,t005_0_1
