ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
1A,593385.000000,269.597910,632.000000,35.000000,758813.000000,344.758292,490.000000,208.000000,0.000000,t001_0_1
2A,873763.000000,396.984552,837.000000,32.000000,941953.000000,427.965925,818.000000,242.000000,0.000000,t001_0_1
3A,1466894.000000,666.467060,1394.000000,31.000000,1013198.000000,460.335302,940.000000,176.000000,0.000000,t001_0_1
4A,2045419.000000,929.313494,1754.000000,40.000000,1112093.000000,505.267151,873.000000,154.000000,0.000000,t001_0_1
5A,2162140.000000,982.344389,1880.000000,30.000000,1178398.000000,535.392095,952.000000,164.000000,0.000000,t001_0_1
6A,1859297.000000,844.751022,1992.000000,32.000000,1136937.000000,516.554748,972.000000,173.000000,0.000000,t001_0_1
7A,1596670.000000,725.429350,1983.000000,30.000000,1304258.000000,592.575193,1023.000000,197.000000,0.000000,t001_0_1
8A,1003162.000000,455.775557,1966.000000,30.000000,1336665.000000,607.298955,1032.000000,210.000000,0.000000,t001_0_1
9A,427141.000000,194.066788,1296.000000,28.000000,1426963.000000,648.324852,1037.000000,230.000000,0.000000,t001_0_1
10A,326927.000000,148.535666,3122.000000,26.000000,1307649.000000,594.115856,1031.000000,153.000000,0.000000,t001_0_1
11A,154403.000000,70.151295,270.000000,29.000000,1501730.000000,682.294412,1034.000000,323.000000,0.000000,t001_0_1
12A,218266.000000,99.166742,686.000000,29.000000,1354447.000000,615.378010,1024.000000,176.000000,0.000000,t001_0_1
13A,189202.000000,85.961836,1559.000000,27.000000,1466920.000000,666.478873,1032.000000,160.000000,0.000000,t001_0_1
14A,193984.000000,88.134484,971.000000,27.000000,1330884.000000,604.672422,1025.000000,183.000000,0.000000,t001_0_1
15A,148001.000000,67.242617,764.000000,28.000000,1412266.000000,641.647433,1032.000000,220.000000,0.000000,t001_0_1
16A,115930.000000,52.671513,122.000000,27.000000,1561374.000000,709.393003,1033.000000,467.000000,0.000000,t001_0_1
17A,104966.000000,47.690141,108.000000,28.000000,1655424.000000,752.123580,1029.000000,532.000000,0.000000,t001_0_1
18A,96156.000000,43.687415,103.000000,28.000000,1792865.000000,814.568378,1032.000000,530.000000,0.000000,t001_0_1
19A,96111.000000,43.666970,128.000000,27.000000,1699570.000000,772.180827,1027.000000,521.000000,0.000000,t001_0_1
20A,86247.000000,39.185370,73.000000,26.000000,2281441.000000,1036.547478,1055.000000,1013.000000,0.000000,t001_0_1
1A,599242.000000,272.258973,578.000000,35.000000,761577.000000,346.014085,468.000000,214.000000,0.682512,t002_0_1
2A,876339.000000,398.154930,813.000000,30.000000,943172.000000,428.519764,816.000000,242.000000,0.682512,t002_0_1
3A,1479343.000000,672.123126,1345.000000,30.000000,1015864.000000,461.546570,942.000000,180.000000,0.682512,t002_0_1
4A,2044959.000000,929.104498,1683.000000,33.000000,1110317.000000,504.460245,869.000000,154.000000,0.682512,t002_0_1
5A,2157785.000000,980.365743,1921.000000,32.000000,1177962.000000,535.194003,955.000000,164.000000,0.682512,t002_0_1
6A,1866907.000000,848.208542,1975.000000,33.000000,1144100.000000,519.809178,971.000000,171.000000,0.682512,t002_0_1
7A,1601705.000000,727.716947,1990.000000,29.000000,1299264.000000,590.306224,1019.000000,194.000000,0.682512,t002_0_1
8A,998867.000000,453.824171,1808.000000,29.000000,1332064.000000,605.208542,1036.000000,216.000000,0.682512,t002_0_1
9A,421171.000000,191.354384,1278.000000,29.000000,1425149.000000,647.500682,1035.000000,234.000000,0.682512,t002_0_1
10A,332291.000000,150.972740,2918.000000,29.000000,1312775.000000,596.444798,1031.000000,155.000000,0.682512,t002_0_1
11A,155580.000000,70.686052,245.000000,27.000000,1499752.000000,681.395729,1032.000000,319.000000,0.682512,t002_0_1
12A,216712.000000,98.460700,752.000000,29.000000,1373201.000000,623.898682,1032.000000,172.000000,0.682512,t002_0_1
13A,185560.000000,84.307133,1724.000000,28.000000,1468231.000000,667.074512,1043.000000,165.000000,0.682512,t002_0_1
14A,194488.000000,88.363471,857.000000,28.000000,1335461.000000,606.751931,1028.000000,186.000000,0.682512,t002_0_1
15A,148519.000000,67.477965,843.000000,27.000000,1416645.000000,643.636983,1036.000000,218.000000,0.682512,t002_0_1
16A,115947.000000,52.679237,121.000000,27.000000,1552695.000000,705.449796,1033.000000,469.000000,0.682512,t002_0_1
17A,106555.000000,48.412085,107.000000,27.000000,1646098.000000,747.886415,1034.000000,533.000000,0.682512,t002_0_1
18A,94964.000000,43.145843,97.000000,28.000000,1791504.000000,813.950023,1032.000000,530.000000,0.682512,t002_0_1
19A,95561.000000,43.417083,126.000000,27.000000,1695047.000000,770.125852,1028.000000,517.000000,0.682512,t002_0_1
20A,86585.000000,39.338937,75.000000,26.000000,2281566.000000,1036.604271,1058.000000,1017.000000,0.682512,t002_0_1
1A,604585.000000,274.686506,581.000000,36.000000,758791.000000,344.748296,465.000000,211.000000,1.365024,t003_0_1
2A,875350.000000,397.705588,784.000000,32.000000,937555.000000,425.967742,817.000000,243.000000,1.365024,t003_0_1
3A,1468298.000000,667.104952,1369.000000,35.000000,1006454.000000,457.271240,930.000000,177.000000,1.365024,t003_0_1
4A,2035535.000000,924.822808,1750.000000,40.000000,1103026.000000,501.147660,860.000000,155.000000,1.365024,t003_0_1
5A,2131356.000000,968.358019,1978.000000,30.000000,1171437.000000,532.229441,946.000000,158.000000,1.365024,t003_0_1
6A,1850523.000000,840.764652,1996.000000,33.000000,1140115.000000,517.998637,962.000000,171.000000,1.365024,t003_0_1
7A,1589132.000000,722.004543,1864.000000,28.000000,1293993.000000,587.911404,1016.000000,194.000000,1.365024,t003_0_1
8A,990378.000000,449.967288,1960.000000,29.000000,1328766.000000,603.710132,1024.000000,211.000000,1.365024,t003_0_1
9A,412163.000000,187.261699,1291.000000,29.000000,1415107.000000,642.938210,1033.000000,231.000000,1.365024,t003_0_1
10A,337843.000000,153.495229,2765.000000,29.000000,1304871.000000,592.853703,1028.000000,157.000000,1.365024,t003_0_1
11A,156916.000000,71.293049,199.000000,28.000000,1488582.000000,676.320763,1025.000000,325.000000,1.365024,t003_0_1
12A,212480.000000,96.537937,898.000000,29.000000,1363820.000000,619.636529,1025.000000,175.000000,1.365024,t003_0_1
13A,186565.000000,84.763744,2077.000000,29.000000,1466313.000000,666.203090,1030.000000,158.000000,1.365024,t003_0_1
14A,195118.000000,88.649705,1108.000000,29.000000,1330458.000000,604.478873,1021.000000,184.000000,1.365024,t003_0_1
15A,150920.000000,68.568832,985.000000,28.000000,1394138.000000,633.411177,1025.000000,211.000000,1.365024,t003_0_1
16A,116376.000000,52.874148,111.000000,27.000000,1542094.000000,700.633348,1028.000000,458.000000,1.365024,t003_0_1
17A,106744.000000,48.497955,109.000000,27.000000,1629033.000000,740.133121,1026.000000,527.000000,1.365024,t003_0_1
