ROI ID,Total Intensity,Time,Frame Id
15A,761867,4.147836,t008_0_1
16A,598376,4.147836,t008_0_1
17A,611593,4.147836,t008_0_1
18A,540431,4.147836,t008_0_1
19A,469944,4.147836,t008_0_1
20A,264854,4.147836,t008_0_1
1A,858739,4.740384,t009_0_1
2A,1050915,4.740384,t009_0_1
3A,1504738,4.740384,t009_0_1
4A,2468478,4.740384,t009_0_1
5A,1941002,4.740384,t009_0_1
6A,1237484,4.740384,t009_0_1
7A,1047884,4.740384,t009_0_1
8A,1226546,4.740384,t009_0_1
9A,981194,4.740384,t009_0_1
10A,997835,4.740384,t009_0_1
11A,964494,4.740384,t009_0_1
12A,953563,4.740384,t009_0_1
13A,962788,4.740384,t009_0_1
14A,929316,4.740384,t009_0_1
15A,762964,4.740384,t009_0_1
16A,584297,4.740384,t009_0_1
17A,624439,4.740384,t009_0_1
18A,545351,4.740384,t009_0_1
19A,473434,4.740384,t009_0_1
20A,263863,4.740384,t009_0_1
1A,858558,5.332932,t010_0_1
2A,1040363,5.332932,t010_0_1
3A,1495652,5.332932,t010_0_1
4A,2463391,5.332932,t010_0_1
5A,1941582,5.332932,t010_0_1
6A,1239840,5.332932,t010_0_1
7A,1039534,5.332932,t010_0_1
8A,1232854,5.332932,t010_0_1
9A,990399,5.332932,t010_0_1
10A,1014547,5.332932,t010_0_1
11A,963734,5.332932,t010_0_1
12A,940869,5.332932,t010_0_1
13A,971971,5.332932,t010_0_1
14A,958918,5.332932,t010_0_1
15A,757961,5.332932,t010_0_1
16A,567946,5.332932,t010_0_1
17A,623732,5.332932,t010_0_1
18A,553523,5.332932,t010_0_1
19A,475809,5.332932,t010_0_1
20A,264685,5.332932,t010_0_1
1A,871159,5.92548,t011_0_1
2A,1037092,5.92548,t011_0_1
3A,1487620,5.92548,t011_0_1
4A,2473300,5.92548,t011_0_1
5A,1938392,5.92548,t011_0_1
6A,1252986,5.92548,t011_0_1
7A,1044182,5.92548,t011_0_1
8A,1234094,5.92548,t011_0_1
9A,980785,5.92548,t011_0_1
10A,1003080,5.92548,t011_0_1
11A,971531,5.92548,t011_0_1
12A,928037,5.92548,t011_0_1
13A,958412,5.92548,t011_0_1
14A,983309,5.92548,t011_0_1
15A,768665,5.92548,t011_0_1
16A,565737,5.92548,t011_0_1
17A,627690,5.92548,t011_0_1
18A,557507,5.92548,t011_0_1
19A,480300,5.92548,t011_0_1
20A,264410,5.92548,t011_0_1
1A,871713,6.518028,t012_0_1
2A,1024746,6.518028,t012_0_1
3A,1504351,6.518028,t012_0_1
4A,2457963,6.518028,t012_0_1
5A,1962591,6.518028,t012_0_1
6A,1249802,6.518028,t012_0_1
7A,1058209,6.518028,t012_0_1
8A,1229171,6.518028,t012_0_1
9A,967979,6.518028,t012_0_1
10A,1003159,6.518028,t012_0_1
11A,964849,6.518028,t012_0_1
12A,934252,6.518028,t012_0_1
13A,980090,6.518028,t012_0_1
14A,1002931,6.518028,t012_0_1
15A,778475,6.518028,t012_0_1
16A,549547,6.518028,t012_0_1
17A,638523,6.518028,t012_0_1
18A,561915,6.518028,t012_0_1
19A,475822,6.518028,t012_0_1
20A,263961,6.518028,t012_0_1
1A,862090,7.110576,t013_0_1
2A,1025323,7.110576,t013_0_1
3A,1494477,7.110576,t013_0_1
4A,2497832,7.110576,t013_0_1
5A,1957519,7.110576,t013_0_1
6A,1267493,7.110576,t013_0_1
7A,1052153,7.110576,t013_0_1
8A,1220179,7.110576,t013_0_1
9A,974617,7.110576,t013_0_1
10A,998398,7.110576,t013_0_1
11A,980416,7.110576,t013_0_1
12A,926823,7.110576,t013_0_1
13A,967218,7.110576,t013_0_1
14A,1022000,7.110576,t013_0_1
15A,781637,7.110576,t013_0_1
16A,550366,7.110576,t013_0_1
17A,614111,7.110576,t013_0_1
18A,562360,7.110576,t013_0_1
19A,481259,7.110576,t013_0_1
20A,264863,7.110576,t013_0_1
1A,854918,7.703124,t014_0_1
2A,1021985,7.703124,t014_0_1
3A,1493627,7.703124,t014_0_1
4A,2475077,7.703124,t014_0_1
5A,1945427,7.703124,t014_0_1
6A,1272047,7.703124,t014_0_1
7A,1038133,7.703124,t014_0_1
8A,1217146,7.703124,t014_0_1
9A,983948,7.703124,t014_0_1
10A,1005074,7.703124,t014_0_1
11A,951733,7.703124,t014_0_1
12A,927217,7.703124,t014_0_1
13A,966226,7.703124,t014_0_1
14A,1017518,7.703124,t014_0_1
15A,788001,7.703124,t014_0_1
16A,550449,7.703124,t014_0_1
17A,603420,7.703124,t014_0_1
18A,560472,7.703124,t014_0_1
19A,479917,7.703124,t014_0_1
20A,264681,7.703124,t014_0_1
1A,842471,8.295672,t015_0_1
2A,1030836,8.295672,t015_0_1
3A,1503857,8.295672,t015_0_1
4A,2491677,8.295672,t015_0_1
5A,1964864,8.295672,t015_0_1
6A,1264722,8.295672,t015_0_1
7A,1052878,8.295672,t015_0_1
8A,1223395,8.295672,t015_0_1
9A,982848,8.295672,t015_0_1
10A,1005019,8.295672,t015_0_1
11A,972253,8.295672,t015_0_1
12A,939706,8.295672,t015_0_1
13A,974952,8.295672,t015_0_1
14A,1028709,8.295672,t015_0_1
15A,790331,8.295672,t015_0_1
16A,550900,8.295672,t015_0_1
17A,601548,8.295672,t015_0_1
18A,561559,8.295672,t015_0_1
19A,484496,8.295672,t015_0_1
20A,263813,8.295672,t015_0_1
1A,848217,8.88822,t016_0_1
2A,1019331,8.88822,t016_0_1
3A,1521268,8.88822,t016_0_1
4A,2483023,8.88822,t016_0_1
5A,1967306,8.88822,t016_0_1
6A,1287070,8.88822,t016_0_1
7A,1055660,8.88822,t016_0_1
8A,1223893,8.88822,t016_0_1
9A,974058,8.88822,t016_0_1
10A,1020342,8.88822,t016_0_1
11A,972052,8.88822,t016_0_1
12A,946847,8.88822,t016_0_1
13A,980280,8.88822,t016_0_1
14A,1022171,8.88822,t016_0_1
15A,791321,8.88822,t016_0_1
16A,549613,8.88822,t016_0_1
17A,594329,8.88822,t016_0_1
18A,567458,8.88822,t016_0_1
19A,489793,8.88822,t016_0_1
20A,263841,8.88822,t016_0_1
1A,852211,9.480768,t017_0_1
2A,1016416,9.480768,t017_0_1
3A,1474965,9.480768,t017_0_1
4A,2458864,9.480768,t017_0_1
5A,1969560,9.480768,t017_0_1
6A,1272216,9.480768,t017_0_1
7A,1054490,9.480768,t017_0_1
8A,1222367,9.480768,t017_0_1
9A,963446,9.480768,t017_0_1
10A,1000647,9.480768,t017_0_1
11A,961609,9.480768,t017_0_1
