ROI ID,Total Intensity:CH1,Average:CH1,Max Intensity:CH1,Min Intensity:CH1,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Time,Frame Id
4A,3566205.000000,1620.265788,4095.000000,28.000000,3355521.000000,1524.543844,2136.000000,742.000000,1.381328,t003_0_1
5A,1915853.000000,870.446615,3988.000000,28.000000,3288686.000000,1494.178101,2132.000000,652.000000,1.381328,t003_0_1
6A,2959586.000000,1344.655157,4093.000000,27.000000,3425485.000000,1556.331213,2093.000000,599.000000,1.381328,t003_0_1
7A,3299250.000000,1498.977737,3987.000000,30.000000,3460973.000000,1572.454793,2072.000000,649.000000,1.381328,t003_0_1
8A,2219410.000000,1008.364380,3133.000000,33.000000,3052958.000000,1387.077692,2020.000000,298.000000,1.381328,t003_0_1
9A,1666960.000000,757.364834,3034.000000,31.000000,3174343.000000,1442.227624,1985.000000,503.000000,1.381328,t003_0_1
10A,1012539.000000,460.035893,2547.000000,26.000000,2873047.000000,1305.337119,1958.000000,337.000000,1.381328,t003_0_1
11A,892944.000000,405.699228,2505.000000,27.000000,3004863.000000,1365.226261,1980.000000,321.000000,1.381328,t003_0_1
12A,623426.000000,283.246706,2280.000000,34.000000,3033984.000000,1378.457065,1987.000000,481.000000,1.381328,t003_0_1
13A,676827.000000,307.508860,1760.000000,36.000000,2990142.000000,1358.537937,2019.000000,302.000000,1.381328,t003_0_1
14A,704469.000000,320.067697,1822.000000,36.000000,2966120.000000,1347.623807,2015.000000,310.000000,1.381328,t003_0_1
15A,776568.000000,352.825080,1868.000000,45.000000,2891690.000000,1313.807360,2032.000000,258.000000,1.381328,t003_0_1
16A,758963.000000,344.826443,1872.000000,46.000000,3045993.000000,1383.913221,2039.000000,291.000000,1.381328,t003_0_1
17A,535910.000000,243.484780,1437.000000,42.000000,3189214.000000,1448.984098,2052.000000,368.000000,1.381328,t003_0_1
18A,398763.000000,181.173557,1333.000000,37.000000,3210281.000000,1458.555657,2054.000000,284.000000,1.381328,t003_0_1
19A,274695.000000,124.804634,2078.000000,26.000000,3336599.000000,1515.946842,2054.000000,383.000000,1.381328,t003_0_1
20A,118720.000000,53.939119,114.000000,25.000000,4407486.000000,2002.492503,2054.000000,1951.000000,1.381328,t003_0_1
1A,1553718.000000,705.914584,2448.000000,25.000000,2731659.000000,1241.099046,2136.000000,423.000000,2.071992,t004_0_1
2A,2099315.000000,953.800545,3250.000000,26.000000,3222702.000000,1464.199000,2146.000000,549.000000,2.071992,t004_0_1
3A,2753833.000000,1251.173557,4095.000000,26.000000,3527294.000000,1602.587006,2146.000000,901.000000,2.071992,t004_0_1
4A,3604935.000000,1637.862335,4095.000000,25.000000,3355188.000000,1524.392549,2130.000000,764.000000,2.071992,t004_0_1
5A,1916066.000000,870.543389,3921.000000,27.000000,3285118.000000,1492.557020,2131.000000,642.000000,2.071992,t004_0_1
6A,2945196.000000,1338.117219,4095.000000,28.000000,3419361.000000,1553.548841,2099.000000,596.000000,2.071992,t004_0_1
7A,3289122.000000,1494.376193,4073.000000,26.000000,3427127.000000,1557.077238,2063.000000,613.000000,2.071992,t004_0_1
8A,2212071.000000,1005.029986,3080.000000,27.000000,3076574.000000,1397.807360,2019.000000,301.000000,2.071992,t004_0_1
9A,1652180.000000,750.649705,3057.000000,28.000000,3152264.000000,1432.196274,1992.000000,501.000000,2.071992,t004_0_1
10A,1016012.000000,461.613812,2597.000000,30.000000,2864607.000000,1301.502499,1954.000000,342.000000,2.071992,t004_0_1
11A,884718.000000,401.961836,2509.000000,31.000000,2964933.000000,1347.084507,1972.000000,322.000000,2.071992,t004_0_1
12A,632303.000000,287.279873,2186.000000,31.000000,3020409.000000,1372.289414,1975.000000,489.000000,2.071992,t004_0_1
13A,679244.000000,308.606997,2022.000000,39.000000,2980187.000000,1354.014993,2002.000000,300.000000,2.071992,t004_0_1
14A,701124.000000,318.547933,1691.000000,40.000000,2944496.000000,1337.799182,2017.000000,303.000000,2.071992,t004_0_1
15A,771309.000000,350.435711,1988.000000,40.000000,2898047.000000,1316.695593,2036.000000,259.000000,2.071992,t004_0_1
16A,758429.000000,344.583826,1742.000000,39.000000,3057009.000000,1388.918219,2035.000000,300.000000,2.071992,t004_0_1
17A,542233.000000,246.357565,1343.000000,34.000000,3186890.000000,1447.928214,2053.000000,372.000000,2.071992,t004_0_1
18A,393474.000000,178.770559,1205.000000,35.000000,3222331.000000,1464.030441,2053.000000,267.000000,2.071992,t004_0_1
19A,279936.000000,127.185825,2144.000000,30.000000,3287193.000000,1493.499773,2054.000000,381.000000,2.071992,t004_0_1
20A,120122.000000,54.576102,137.000000,27.000000,4394492.000000,1996.588823,2041.000000,1948.000000,2.071992,t004_0_1
1A,1658730.000000,753.625625,2526.000000,25.000000,2733753.000000,1242.050432,2139.000000,424.000000,2.762656,t005_0_1
2A,2059019.000000,935.492503,3051.000000,26.000000,3211831.000000,1459.259882,2148.000000,550.000000,2.762656,t005_0_1
3A,2691995.000000,1223.078146,4095.000000,26.000000,3511864.000000,1595.576556,2150.000000,901.000000,2.762656,t005_0_1
4A,3607394.000000,1638.979555,4095.000000,25.000000,3373018.000000,1532.493412,2127.000000,774.000000,2.762656,t005_0_1
5A,1924081.000000,874.184916,3875.000000,29.000000,3294381.000000,1496.765561,2122.000000,638.000000,2.762656,t005_0_1
6A,2939939.000000,1335.728760,4088.000000,27.000000,3405861.000000,1547.415266,2092.000000,593.000000,2.762656,t005_0_1
7A,3273360.000000,1487.214902,3956.000000,27.000000,3408549.000000,1548.636529,2071.000000,629.000000,2.762656,t005_0_1
8A,2209508.000000,1003.865516,3048.000000,30.000000,3059587.000000,1390.089505,2022.000000,297.000000,2.762656,t005_0_1
9A,1653380.000000,751.194911,3164.000000,31.000000,3139846.000000,1426.554294,1986.000000,488.000000,2.762656,t005_0_1
10A,1024188.000000,465.328487,2873.000000,31.000000,2852809.000000,1296.142208,1955.000000,333.000000,2.762656,t005_0_1
11A,887115.000000,403.050886,2516.000000,27.000000,2981495.000000,1354.609269,1978.000000,312.000000,2.762656,t005_0_1
12A,649725.000000,295.195366,2197.000000,33.000000,2997890.000000,1362.058155,1976.000000,466.000000,2.762656,t005_0_1
13A,688398.000000,312.766015,1999.000000,33.000000,2953599.000000,1341.935030,2007.000000,298.000000,2.762656,t005_0_1
14A,702221.000000,319.046343,1731.000000,36.000000,2965030.000000,1347.128578,2023.000000,305.000000,2.762656,t005_0_1
15A,766107.000000,348.072240,1878.000000,45.000000,2883995.000000,1310.311222,2027.000000,258.000000,2.762656,t005_0_1
16A,760019.000000,345.306224,1804.000000,42.000000,3056159.000000,1388.532031,2031.000000,300.000000,2.762656,t005_0_1
17A,539062.000000,244.916856,1331.000000,45.000000,3157453.000000,1434.553839,2044.000000,375.000000,2.762656,t005_0_1
18A,393275.000000,178.680145,1211.000000,35.000000,3193856.000000,1451.093139,2048.000000,276.000000,2.762656,t005_0_1
19A,280812.000000,127.583826,2114.000000,28.000000,3293143.000000,1496.203090,2056.000000,369.000000,2.762656,t005_0_1
20A,120685.000000,54.831895,128.000000,27.000000,4396304.000000,1997.412085,2044.000000,1944.000000,2.762656,t005_0_1
1A,1641473.000000,745.785098,2656.000000,25.000000,2752769.000000,1250.690141,2136.000000,421.000000,3.453320,t006_0_1
2A,2001401.000000,909.314403,2920.000000,25.000000,3208189.000000,1457.605179,2159.000000,548.000000,3.453320,t006_0_1
3A,2633703.000000,1196.593821,4095.000000,25.000000,3495150.000000,1587.982735,2157.000000,896.000000,3.453320,t006_0_1
4A,3529517.000000,1603.597001,4095.000000,27.000000,3320184.000000,1508.488869,2133.000000,742.000000,3.453320,t006_0_1
5A,1916992.000000,870.964107,3970.000000,29.000000,3277548.000000,1489.117674,2125.000000,629.000000,3.453320,t006_0_1
6A,2964938.000000,1347.086779,4095.000000,28.000000,3411591.000000,1550.018628,2091.000000,586.000000,3.453320,t006_0_1
7A,3297128.000000,1498.013630,4045.000000,28.000000,3431518.000000,1559.072240,2067.000000,640.000000,3.453320,t006_0_1
8A,2218770.000000,1008.073603,2983.000000,27.000000,3061580.000000,1390.995002,2014.000000,302.000000,3.453320,t006_0_1
9A,1674989.000000,761.012721,3064.000000,32.000000,3156709.000000,1434.215811,1992.000000,500.000000,3.453320,t006_0_1
10A,1022215.000000,464.432076,2654.000000,32.000000,2842134.000000,1291.292140,1947.000000,340.000000,3.453320,t006_0_1
11A,899243.000000,408.561109,2548.000000,32.000000,2981955.000000,1354.818264,1976.000000,318.000000,3.453320,t006_0_1
12A,656142.000000,298.110859,2263.000000,34.000000,3028862.000000,1376.129941,1979.000000,468.000000,3.453320,t006_0_1
13A,708869.000000,322.066788,1878.000000,36.000000,2945951.000000,1338.460245,2007.000000,299.000000,3.453320,t006_0_1
14A,703230.000000,319.504771,1778.000000,33.000000,2946503.000000,1338.711040,2026.000000,302.000000,3.453320,t006_0_1
15A,764031.000000,347.129032,1805.000000,39.000000,2843761.000000,1292.031349,2027.000000,260.000000,3.453320,t006_0_1
16A,755921.000000,343.444343,1824.000000,46.000000,3067584.000000,1393.722853,2034.000000,295.000000,3.453320,t006_0_1
17A,543430.000000,246.901408,1361.000000,39.000000,3203032.000000,1455.262154,2049.000000,360.000000,3.453320,t006_0_1
18A,395268.000000,179.585643,1408.000000,33.000000,3190283.000000,1449.469786,2049.000000,284.000000,3.453320,t006_0_1
19A,282628.000000,128.408905,1986.000000,29.000000,3296776.000000,1497.853703,2050.000000,385.000000,3.453320,t006_0_1
20A,119604.000000,54.340754,124.000000,26.000000,4395845.000000,1997.203544,2039.000000,1944.000000,3.453320,t006_0_1
1A,1543108.000000,701.094048,2509.000000,24.000000,2711420.000000,1231.903680,2130.000000,422.000000,4.143984,t007_0_1
2A,2015646.000000,915.786461,3030.000000,24.000000,3201402.000000,1454.521581,2148.000000,546.000000,4.143984,t007_0_1
3A,2647088.000000,1202.675148,4095.000000,25.000000,3498998.000000,1589.731031,2150.000000,894.000000,4.143984,t007_0_1
4A,3603701.000000,1637.301681,4095.000000,28.000000,3344964.000000,1519.747388,2144.000000,763.000000,4.143984,t007_0_1
5A,1936940.000000,880.027260,3956.000000,28.000000,3288614.000000,1494.145388,2131.000000,650.000000,4.143984,t007_0_1
6A,2963650.000000,1346.501590,4095.000000,28.000000,3413670.000000,1550.963199,2092.000000,577.000000,4.143984,t007_0_1
7A,3301035.000000,1499.788732,4095.000000,28.000000,3422241.000000,1554.857338,2058.000000,634.000000,4.143984,t007_0_1
8A,2228885.000000,1012.669241,3103.000000,33.000000,3050026.000000,1385.745570,2013.000000,301.000000,4.143984,t007_0_1
9A,1660211.000000,754.298501,3007.000000,30.000000,3145087.000000,1428.935484,1982.000000,498.000000,4.143984,t007_0_1
10A,1032507.000000,469.108133,2628.000000,31.000000,2842271.000000,1291.354384,1949.000000,339.000000,4.143984,t007_0_1
11A,914145.000000,415.331667,2492.000000,30.000000,2984491.000000,1355.970468,1975.000000,320.000000,4.143984,t007_0_1
12A,664531.000000,301.922308,2196.000000,35.000000,3019988.000000,1372.098137,1975.000000,460.000000,4.143984,t007_0_1
13A,731550.000000,332.371649,2029.000000,37.000000,2961517.000000,1345.532485,2007.000000,297.000000,4.143984,t007_0_1
14A,705351.000000,320.468423,1723.000000,39.000000,2962831.000000,1346.129487,2010.000000,303.000000,4.143984,t007_0_1
15A,768622.000000,349.214902,1820.000000,47.000000,2879097.000000,1308.085870,2025.000000,258.000000,4.143984,t007_0_1
16A,751161.000000,341.281690,1677.000000,33.000000,3087699.000000,1402.861881,2041.000000,299.000000,4.143984,t007_0_1
17A,535831.000000,243.448887,1392.000000,33.000000,3198046.000000,1452.996820,2047.000000,338.000000,4.143984,t007_0_1
18A,394009.000000,179.013630,1268.000000,29.000000,3217205.000000,1461.701499,2048.000000,278.000000,4.143984,t007_0_1
19A,280903.000000,127.625170,2156.000000,27.000000,3328502.000000,1512.268060,2053.000000,379.000000,4.143984,t007_0_1
20A,120058.000000,54.547024,137.000000,28.000000,4397637.000000,1998.017719,2040.000000,1943.000000,4.143984,t007_0_1
1A,1665945.000000,756.903680,2456.000000,25.000000,2735818.000000,1242.988642,2138.000000,422.000000,4.834648,t008_0_1
2A,2155838.000000,979.481145,3170.000000,26.000000,3218792.000000,1462.422535,2152.000000,547.000000,4.834648,t008_0_1
3A,2641235.000000,1200.015902,4095.000000,26.000000,3479507.000000,1580.875511,2159.000000,904.000000,4.834648,t008_0_1
4A,3620597.000000,1644.978192,4095.000000,30.000000,3363048.000000,1527.963653,2127.000000,723.000000,4.834648,t008_0_1
5A,1932256.000000,877.899137,4092.000000,30.000000,3273912.000000,1487.465697,2128.000000,634.000000,4.834648,t008_0_1
6A,2981776.000000,1354.736938,4095.000000,26.000000,3425591.000000,1556.379373,2096.000000,597.000000,4.834648,t008_0_1
7A,3299408.000000,1499.049523,4025.000000,29.000000,3425135.000000,1556.172194,2062.000000,640.000000,4.834648,t008_0_1
8A,2229878.000000,1013.120400,3245.000000,30.000000,3076092.000000,1397.588369,2020.000000,297.000000,4.834648,t008_0_1
9A,1665399.000000,756.655611,3417.000000,30.000000,3140249.000000,1426.737392,1986.000000,502.000000,4.834648,t008_0_1
10A,1023852.000000,465.175829,2733.000000,31.000000,2870212.000000,1304.049069,1950.000000,335.000000,4.834648,t008_0_1
11A,918486.000000,417.303953,2609.000000,30.000000,3008484.000000,1366.871422,1985.000000,324.000000,4.834648,t008_0_1
12A,667050.000000,303.066788,2348.000000,37.000000,3022686.000000,1373.323944,1986.000000,488.000000,4.834648,t008_0_1
13A,732118.000000,332.629714,2031.000000,41.000000,2959599.000000,1344.661063,2008.000000,305.000000,4.834648,t008_0_1
14A,705521.000000,320.545661,1797.000000,37.000000,2953414.000000,1341.850977,2021.000000,311.000000,4.834648,t008_0_1
15A,760799.000000,345.660609,1701.000000,37.000000,2860090.000000,1299.450250,2027.000000,257.000000,4.834648,t008_0_1
16A,746178.000000,339.017719,1741.000000,35.000000,3100430.000000,1408.646070,2037.000000,298.000000,4.834648,t008_0_1
17A,537539.000000,244.224898,1336.000000,30.000000,3230164.000000,1467.589278,2050.000000,373.000000,4.834648,t008_0_1
18A,394377.000000,179.180827,1255.000000,33.000000,3203266.000000,1455.368469,2063.000000,308.000000,4.834648,t008_0_1
19A,279762.000000,127.106770,2132.000000,29.000000,3337153.000000,1516.198546,2049.000000,397.000000,4.834648,t008_0_1
20A,119761.000000,54.412085,135.000000,26.000000,4393572.000000,1996.170831,2042.000000,1941.000000,4.834648,t008_0_1
1A,1607052.000000,730.146297,2587.000000,24.000000,2715000.000000,1233.530214,2135.000000,421.000000,5.525312,t009_0_1
2A,2220943.000000,1009.060881,3225.000000,25.000000,3214762.000000,1460.591549,2152.000000,548.000000,5.525312,t009_0_1
3A,2744577.000000,1246.968196,4095.000000,25.000000,3511984.000000,1595.631077,2153.000000,901.000000,5.525312,t009_0_1
