ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
1A,2373874.000000,1418.084827,4095.000000,150.000000,549211.000000,328.083035,553.000000,114.000000,0.000000,t001_0_1
2A,4302198.000000,2570.010753,4095.000000,152.000000,645879.000000,385.829749,553.000000,108.000000,0.000000,t001_0_1
3A,3869620.000000,2311.600956,4095.000000,157.000000,656919.000000,392.424731,558.000000,114.000000,0.000000,t001_0_1
4A,3127479.000000,1868.267025,4095.000000,151.000000,696570.000000,416.111111,562.000000,114.000000,0.000000,t001_0_1
5A,3405828.000000,2034.544803,4095.000000,153.000000,763966.000000,456.371565,562.000000,140.000000,0.000000,t001_0_1
6A,3159736.000000,1887.536440,4095.000000,152.000000,730603.000000,436.441458,567.000000,133.000000,0.000000,t001_0_1
7A,2211331.000000,1320.986260,4095.000000,151.000000,743843.000000,444.350657,566.000000,141.000000,0.000000,t001_0_1
8A,1377703.000000,823.000597,3876.000000,151.000000,738650.000000,441.248507,565.000000,132.000000,0.000000,t001_0_1
9A,972217.000000,580.774791,2792.000000,150.000000,746827.000000,446.133214,568.000000,147.000000,0.000000,t001_0_1
10A,979131.000000,584.905018,3849.000000,151.000000,780435.000000,466.209677,566.000000,135.000000,0.000000,t001_0_1
11A,1434204.000000,856.752688,4095.000000,151.000000,763416.000000,456.043011,565.000000,130.000000,0.000000,t001_0_1
12A,1402330.000000,837.712067,4095.000000,151.000000,771480.000000,460.860215,565.000000,133.000000,0.000000,t001_0_1
13A,1267663.000000,757.265830,3849.000000,151.000000,803346.000000,479.896057,568.000000,134.000000,0.000000,t001_0_1
14A,1138846.000000,680.314217,3260.000000,149.000000,807773.000000,482.540621,566.000000,129.000000,0.000000,t001_0_1
15A,1464841.000000,875.054361,4095.000000,150.000000,815005.000000,486.860812,568.000000,126.000000,0.000000,t001_0_1
16A,1520615.000000,908.372162,4095.000000,150.000000,834306.000000,498.390681,566.000000,150.000000,0.000000,t001_0_1
17A,1274262.000000,761.207885,4095.000000,150.000000,785117.000000,469.006571,569.000000,139.000000,0.000000,t001_0_1
18A,1201836.000000,717.942652,2516.000000,151.000000,780920.000000,466.499403,569.000000,129.000000,0.000000,t001_0_1
19A,963253.000000,575.419952,2004.000000,149.000000,862665.000000,515.331541,566.000000,159.000000,0.000000,t001_0_1
20A,328968.000000,196.516129,458.000000,149.000000,925464.000000,552.845878,571.000000,526.000000,0.000000,t001_0_1
1A,2383613.000000,1423.902628,4095.000000,151.000000,547815.000000,327.249104,556.000000,108.000000,0.659448,t002_0_1
2A,4325168.000000,2583.732378,4095.000000,152.000000,644883.000000,385.234767,552.000000,110.000000,0.659448,t002_0_1
3A,3666410.000000,2190.209080,4095.000000,154.000000,654827.000000,391.175030,560.000000,114.000000,0.659448,t002_0_1
4A,3175752.000000,1897.103943,4095.000000,152.000000,694981.000000,415.161888,560.000000,116.000000,0.659448,t002_0_1
5A,3540244.000000,2114.841099,4095.000000,151.000000,760838.000000,454.502987,561.000000,135.000000,0.659448,t002_0_1
6A,3147655.000000,1880.319594,4095.000000,153.000000,727358.000000,434.502987,563.000000,132.000000,0.659448,t002_0_1
7A,2219382.000000,1325.795699,4095.000000,151.000000,742011.000000,443.256272,563.000000,141.000000,0.659448,t002_0_1
8A,1370656.000000,818.790920,3663.000000,151.000000,736548.000000,439.992832,566.000000,137.000000,0.659448,t002_0_1
9A,979005.000000,584.829749,2889.000000,151.000000,744205.000000,444.566906,563.000000,145.000000,0.659448,t002_0_1
10A,980537.000000,585.744922,3999.000000,151.000000,779125.000000,465.427121,567.000000,133.000000,0.659448,t002_0_1
11A,1416398.000000,846.115890,4095.000000,150.000000,761858.000000,455.112306,567.000000,126.000000,0.659448,t002_0_1
12A,1424560.000000,850.991637,4095.000000,150.000000,767703.000000,458.603943,565.000000,131.000000,0.659448,t002_0_1
13A,1289001.000000,770.012545,3258.000000,151.000000,802178.000000,479.198327,566.000000,132.000000,0.659448,t002_0_1
14A,1132986.000000,676.813620,3621.000000,150.000000,805653.000000,481.274194,570.000000,129.000000,0.659448,t002_0_1
15A,1467699.000000,876.761649,4095.000000,150.000000,813447.000000,485.930108,567.000000,128.000000,0.659448,t002_0_1
16A,1459647.000000,871.951613,4095.000000,150.000000,834673.000000,498.609916,570.000000,138.000000,0.659448,t002_0_1
17A,1286435.000000,768.479689,4095.000000,150.000000,785392.000000,469.170848,568.000000,143.000000,0.659448,t002_0_1
18A,1221842.000000,729.893668,3162.000000,150.000000,777114.000000,464.225806,567.000000,128.000000,0.659448,t002_0_1
19A,1016881.000000,607.455795,2300.000000,149.000000,860462.000000,514.015532,569.000000,157.000000,0.659448,t002_0_1
20A,328066.000000,195.977300,428.000000,146.000000,922047.000000,550.804659,568.000000,532.000000,0.659448,t002_0_1
1A,2435634.000000,1454.978495,4095.000000,149.000000,549013.000000,327.964755,552.000000,112.000000,1.318896,t003_0_1
2A,4322122.000000,2581.912784,4095.000000,152.000000,647044.000000,386.525687,557.000000,111.000000,1.318896,t003_0_1
3A,3361153.000000,2007.857228,4095.000000,152.000000,657743.000000,392.916965,554.000000,116.000000,1.318896,t003_0_1
4A,3312122.000000,1978.567503,4095.000000,150.000000,697666.000000,416.765830,562.000000,111.000000,1.318896,t003_0_1
5A,3627800.000000,2167.144564,4095.000000,152.000000,758185.000000,452.918160,563.000000,133.000000,1.318896,t003_0_1
6A,3120359.000000,1864.013740,4095.000000,151.000000,727104.000000,434.351254,564.000000,132.000000,1.318896,t003_0_1
7A,2231182.000000,1332.844683,4095.000000,151.000000,740439.000000,442.317204,563.000000,144.000000,1.318896,t003_0_1
