ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,359926.000000,1649012.000000,0.000000,t001_0_1
2A,451817.000000,1907071.000000,0.000000,t001_0_1
3A,858832.000000,2047789.000000,0.000000,t001_0_1
4A,1514510.000000,2412429.000000,0.000000,t001_0_1
5A,1063422.000000,2598510.000000,0.000000,t001_0_1
6A,401605.000000,2552726.000000,0.000000,t001_0_1
7A,389007.000000,2395125.000000,0.000000,t001_0_1
8A,468124.000000,2513345.000000,0.000000,t001_0_1
9A,417124.000000,2717433.000000,0.000000,t001_0_1
10A,516582.000000,2349735.000000,0.000000,t001_0_1
11A,601707.000000,2483242.000000,0.000000,t001_0_1
12A,619640.000000,2425443.000000,0.000000,t001_0_1
13A,640786.000000,2496969.000000,0.000000,t001_0_1
14A,746620.000000,2625788.000000,0.000000,t001_0_1
15A,732724.000000,2626445.000000,0.000000,t001_0_1
16A,572325.000000,2777300.000000,0.000000,t001_0_1
17A,627794.000000,2592535.000000,0.000000,t001_0_1
18A,331230.000000,3241417.000000,0.000000,t001_0_1
19A,299196.000000,3620992.000000,0.000000,t001_0_1
20A,61320.000000,3921851.000000,0.000000,t001_0_1
1A,355169.000000,1658147.000000,0.737748,t002_0_1
2A,448353.000000,1900892.000000,0.737748,t002_0_1
3A,877743.000000,2034004.000000,0.737748,t002_0_1
4A,1530539.000000,2381354.000000,0.737748,t002_0_1
5A,995336.000000,2596540.000000,0.737748,t002_0_1
6A,394453.000000,2549461.000000,0.737748,t002_0_1
7A,409861.000000,2377860.000000,0.737748,t002_0_1
8A,466300.000000,2521311.000000,0.737748,t002_0_1
9A,415200.000000,2706191.000000,0.737748,t002_0_1
10A,508884.000000,2339723.000000,0.737748,t002_0_1
11A,615892.000000,2470410.000000,0.737748,t002_0_1
12A,623343.000000,2424772.000000,0.737748,t002_0_1
13A,635600.000000,2496213.000000,0.737748,t002_0_1
14A,750755.000000,2618291.000000,0.737748,t002_0_1
15A,730204.000000,2619761.000000,0.737748,t002_0_1
16A,574865.000000,2781211.000000,0.737748,t002_0_1
17A,609477.000000,2578421.000000,0.737748,t002_0_1
18A,327088.000000,3233189.000000,0.737748,t002_0_1
19A,292726.000000,3608510.000000,0.737748,t002_0_1
20A,61873.000000,3917480.000000,0.737748,t002_0_1
1A,356878.000000,1658536.000000,1.475496,t003_0_1
2A,453344.000000,1892264.000000,1.475496,t003_0_1
3A,935805.000000,2025104.000000,1.475496,t003_0_1
4A,1557957.000000,2386743.000000,1.475496,t003_0_1
5A,931916.000000,2595554.000000,1.475496,t003_0_1
6A,391459.000000,2543213.000000,1.475496,t003_0_1
7A,401278.000000,2380116.000000,1.475496,t003_0_1
8A,466407.000000,2516070.000000,1.475496,t003_0_1
9A,413043.000000,2699429.000000,1.475496,t003_0_1
10A,507898.000000,2338259.000000,1.475496,t003_0_1
11A,608358.000000,2465125.000000,1.475496,t003_0_1
12A,633940.000000,2418798.000000,1.475496,t003_0_1
13A,625304.000000,2490132.000000,1.475496,t003_0_1
14A,734996.000000,2614927.000000,1.475496,t003_0_1
15A,725127.000000,2611535.000000,1.475496,t003_0_1
16A,572580.000000,2773489.000000,1.475496,t003_0_1
17A,618504.000000,2561048.000000,1.475496,t003_0_1
18A,325287.000000,3219678.000000,1.475496,t003_0_1
19A,296464.000000,3599718.000000,1.475496,t003_0_1
20A,61881.000000,3918109.000000,1.475496,t003_0_1
1A,354786.000000,1661098.000000,2.213244,t004_0_1
2A,469885.000000,1892708.000000,2.213244,t004_0_1
3A,955466.000000,2030103.000000,2.213244,t004_0_1
4A,1576193.000000,2393945.000000,2.213244,t004_0_1
5A,890965.000000,2614599.000000,2.213244,t004_0_1
