ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1616284.000000,1843200.000000,0.000000,t001_0_1
2A,2194104.000000,2038766.000000,0.000000,t001_0_1
3A,2706292.000000,2325826.000000,0.000000,t001_0_1
4A,1481741.000000,2770873.000000,0.000000,t001_0_1
5A,759755.000000,2883341.000000,0.000000,t001_0_1
6A,936654.000000,2805493.000000,0.000000,t001_0_1
7A,867723.000000,2551028.000000,0.000000,t001_0_1
8A,895373.000000,2516893.000000,0.000000,t001_0_1
9A,613470.000000,2595519.000000,0.000000,t001_0_1
10A,643440.000000,2576808.000000,0.000000,t001_0_1
11A,781835.000000,2602102.000000,0.000000,t001_0_1
12A,655747.000000,2501000.000000,0.000000,t001_0_1
13A,848628.000000,2753602.000000,0.000000,t001_0_1
14A,640144.000000,2574224.000000,0.000000,t001_0_1
15A,756374.000000,2510925.000000,0.000000,t001_0_1
16A,535779.000000,2889655.000000,0.000000,t001_0_1
17A,716556.000000,2925478.000000,0.000000,t001_0_1
18A,368436.000000,3169718.000000,0.000000,t001_0_1
19A,272945.000000,3510950.000000,0.000000,t001_0_1
20A,60279.000000,3717080.000000,0.000000,t001_0_1
1A,1620126.000000,1822358.000000,0.715400,t002_0_1
2A,2157898.000000,2057037.000000,0.715400,t002_0_1
3A,2657150.000000,2312601.000000,0.715400,t002_0_1
4A,1475661.000000,2771876.000000,0.715400,t002_0_1
5A,757816.000000,2881296.000000,0.715400,t002_0_1
6A,928694.000000,2807141.000000,0.715400,t002_0_1
7A,863800.000000,2552118.000000,0.715400,t002_0_1
8A,906097.000000,2509990.000000,0.715400,t002_0_1
9A,614824.000000,2596227.000000,0.715400,t002_0_1
10A,650965.000000,2570886.000000,0.715400,t002_0_1
11A,794552.000000,2599519.000000,0.715400,t002_0_1
12A,670244.000000,2500328.000000,0.715400,t002_0_1
13A,868931.000000,2754710.000000,0.715400,t002_0_1
14A,634579.000000,2571388.000000,0.715400,t002_0_1
15A,754856.000000,2509817.000000,0.715400,t002_0_1
16A,542294.000000,2901218.000000,0.715400,t002_0_1
17A,733032.000000,2925353.000000,0.715400,t002_0_1
18A,365033.000000,3167842.000000,0.715400,t002_0_1
19A,278529.000000,3505351.000000,0.715400,t002_0_1
20A,61127.000000,3711705.000000,0.715400,t002_0_1
1A,1640839.000000,1836334.000000,1.430800,t003_0_1
2A,2217767.000000,2050966.000000,1.430800,t003_0_1
