ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,329343.000000,2183400.000000,0.000000,t001_0_1
2A,444573.000000,2397772.000000,0.000000,t001_0_1
3A,587588.000000,2528501.000000,0.000000,t001_0_1
4A,653452.000000,2735281.000000,0.000000,t001_0_1
5A,387729.000000,2833743.000000,0.000000,t001_0_1
6A,222843.000000,3044496.000000,0.000000,t001_0_1
7A,186075.000000,2833455.000000,0.000000,t001_0_1
8A,309077.000000,2716783.000000,0.000000,t001_0_1
9A,206156.000000,2884201.000000,0.000000,t001_0_1
10A,397274.000000,2749545.000000,0.000000,t001_0_1
11A,422692.000000,2851800.000000,0.000000,t001_0_1
12A,396800.000000,2632493.000000,0.000000,t001_0_1
13A,518815.000000,2799359.000000,0.000000,t001_0_1
14A,453104.000000,3031494.000000,0.000000,t001_0_1
15A,485023.000000,2657289.000000,0.000000,t001_0_1
16A,305263.000000,2834009.000000,0.000000,t001_0_1
17A,215644.000000,2615671.000000,0.000000,t001_0_1
18A,263454.000000,3291185.000000,0.000000,t001_0_1
19A,232544.000000,3632538.000000,0.000000,t001_0_1
20A,57110.000000,3828390.000000,0.000000,t001_0_1
1A,333654.000000,2188850.000000,0.715128,t002_0_1
2A,445629.000000,2404698.000000,0.715128,t002_0_1
3A,595156.000000,2541679.000000,0.715128,t002_0_1
4A,648576.000000,2748273.000000,0.715128,t002_0_1
5A,404764.000000,2842965.000000,0.715128,t002_0_1
6A,219653.000000,3051268.000000,0.715128,t002_0_1
7A,190148.000000,2850217.000000,0.715128,t002_0_1
8A,309610.000000,2729210.000000,0.715128,t002_0_1
9A,203731.000000,2897032.000000,0.715128,t002_0_1
10A,400805.000000,2760754.000000,0.715128,t002_0_1
11A,426273.000000,2862496.000000,0.715128,t002_0_1
12A,375552.000000,2644387.000000,0.715128,t002_0_1
13A,525456.000000,2810339.000000,0.715128,t002_0_1
14A,447853.000000,3044476.000000,0.715128,t002_0_1
15A,482790.000000,2666082.000000,0.715128,t002_0_1
16A,313216.000000,2843807.000000,0.715128,t002_0_1
17A,221190.000000,2625020.000000,0.715128,t002_0_1
18A,262548.000000,3302019.000000,0.715128,t002_0_1
19A,233324.000000,3647359.000000,0.715128,t002_0_1
20A,55958.000000,3836221.000000,0.715128,t002_0_1
1A,332166.000000,2187527.000000,1.430256,t003_0_1
2A,454731.000000,2402689.000000,1.430256,t003_0_1
3A,581748.000000,2553092.000000,1.430256,t003_0_1
4A,635412.000000,2752646.000000,1.430256,t003_0_1
5A,407329.000000,2839947.000000,1.430256,t003_0_1
6A,223535.000000,3052092.000000,1.430256,t003_0_1
7A,190903.000000,2856735.000000,1.430256,t003_0_1
8A,310265.000000,2735718.000000,1.430256,t003_0_1
9A,206289.000000,2904146.000000,1.430256,t003_0_1
10A,411829.000000,2764875.000000,1.430256,t003_0_1
11A,427267.000000,2863321.000000,1.430256,t003_0_1
12A,368723.000000,2642371.000000,1.430256,t003_0_1
13A,538783.000000,2812576.000000,1.430256,t003_0_1
14A,446085.000000,3049410.000000,1.430256,t003_0_1
15A,490193.000000,2670670.000000,1.430256,t003_0_1
16A,316235.000000,2847539.000000,1.430256,t003_0_1
17A,222025.000000,2628430.000000,1.430256,t003_0_1
18A,261894.000000,3304128.000000,1.430256,t003_0_1
19A,233361.000000,3646919.000000,1.430256,t003_0_1
20A,55828.000000,3833408.000000,1.430256,t003_0_1
1A,332495.000000,2183154.000000,2.145384,t004_0_1
2A,454103.000000,2393058.000000,2.145384,t004_0_1
3A,576740.000000,2528887.000000,2.145384,t004_0_1
4A,645765.000000,2741536.000000,2.145384,t004_0_1
5A,409077.000000,2827508.000000,2.145384,t004_0_1
6A,223176.000000,3036712.000000,2.145384,t004_0_1
7A,190807.000000,2846512.000000,2.145384,t004_0_1
8A,302150.000000,2724774.000000,2.145384,t004_0_1
9A,205891.000000,2892005.000000,2.145384,t004_0_1
10A,408010.000000,2748562.000000,2.145384,t004_0_1
11A,437786.000000,2857607.000000,2.145384,t004_0_1
12A,365645.000000,2637060.000000,2.145384,t004_0_1
13A,542310.000000,2799183.000000,2.145384,t004_0_1
14A,444293.000000,3037964.000000,2.145384,t004_0_1
15A,487988.000000,2661403.000000,2.145384,t004_0_1
16A,312726.000000,2833992.000000,2.145384,t004_0_1
17A,216239.000000,2615859.000000,2.145384,t004_0_1
18A,268805.000000,3293010.000000,2.145384,t004_0_1
19A,229766.000000,3634216.000000,2.145384,t004_0_1
20A,55825.000000,3831464.000000,2.145384,t004_0_1
1A,328254.000000,2169549.000000,2.860512,t005_0_1
2A,449625.000000,2395342.000000,2.860512,t005_0_1
3A,577009.000000,2536614.000000,2.860512,t005_0_1
4A,646757.000000,2758505.000000,2.860512,t005_0_1
5A,412865.000000,2816129.000000,2.860512,t005_0_1
6A,228326.000000,3040659.000000,2.860512,t005_0_1
7A,192193.000000,2836530.000000,2.860512,t005_0_1
8A,309083.000000,2712654.000000,2.860512,t005_0_1
9A,215453.000000,2891308.000000,2.860512,t005_0_1
10A,400517.000000,2755063.000000,2.860512,t005_0_1
