ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,1101519.000000,1932620.000000,0.000000,t001_0_1
2A,1515523.000000,2237900.000000,0.000000,t001_0_1
3A,1798077.000000,2431186.000000,0.000000,t001_0_1
4A,1550646.000000,2518742.000000,0.000000,t001_0_1
5A,1232692.000000,2448304.000000,0.000000,t001_0_1
6A,1359948.000000,2213163.000000,0.000000,t001_0_1
7A,954810.000000,2220081.000000,0.000000,t001_0_1
8A,622733.000000,2152074.000000,0.000000,t001_0_1
9A,486655.000000,2080687.000000,0.000000,t001_0_1
10A,596480.000000,2298519.000000,0.000000,t001_0_1
11A,639669.000000,2275467.000000,0.000000,t001_0_1
12A,428312.000000,2203296.000000,0.000000,t001_0_1
13A,441979.000000,2126474.000000,0.000000,t001_0_1
14A,511096.000000,2106785.000000,0.000000,t001_0_1
15A,578680.000000,2172775.000000,0.000000,t001_0_1
16A,342918.000000,2457062.000000,0.000000,t001_0_1
17A,256252.000000,2582364.000000,0.000000,t001_0_1
18A,268602.000000,2589118.000000,0.000000,t001_0_1
19A,278814.000000,3312909.000000,0.000000,t001_0_1
20A,56768.000000,3699573.000000,0.000000,t001_0_1
1A,1112798.000000,1936949.000000,0.715400,t002_0_1
2A,1510578.000000,2228157.000000,0.715400,t002_0_1
3A,1794484.000000,2438402.000000,0.715400,t002_0_1
4A,1541375.000000,2516352.000000,0.715400,t002_0_1
5A,1249323.000000,2459092.000000,0.715400,t002_0_1
6A,1353160.000000,2208809.000000,0.715400,t002_0_1
7A,950463.000000,2217298.000000,0.715400,t002_0_1
8A,640350.000000,2152192.000000,0.715400,t002_0_1
9A,503514.000000,2081815.000000,0.715400,t002_0_1
10A,602039.000000,2295486.000000,0.715400,t002_0_1
11A,632298.000000,2270416.000000,0.715400,t002_0_1
12A,430870.000000,2205030.000000,0.715400,t002_0_1
13A,441799.000000,2135222.000000,0.715400,t002_0_1
14A,516153.000000,2097401.000000,0.715400,t002_0_1
15A,576100.000000,2168824.000000,0.715400,t002_0_1
16A,348198.000000,2445387.000000,0.715400,t002_0_1
17A,257962.000000,2580866.000000,0.715400,t002_0_1
18A,266615.000000,2580263.000000,0.715400,t002_0_1
19A,288324.000000,3308004.000000,0.715400,t002_0_1
20A,57272.000000,3694212.000000,0.715400,t002_0_1
1A,1107279.000000,1936982.000000,1.430800,t003_0_1
2A,1540103.000000,2222094.000000,1.430800,t003_0_1
3A,1807224.000000,2437164.000000,1.430800,t003_0_1
4A,1539603.000000,2514301.000000,1.430800,t003_0_1
5A,1226248.000000,2462967.000000,1.430800,t003_0_1
6A,1330996.000000,2204006.000000,1.430800,t003_0_1
7A,950622.000000,2218975.000000,1.430800,t003_0_1
8A,628696.000000,2150255.000000,1.430800,t003_0_1
9A,498583.000000,2079137.000000,1.430800,t003_0_1
10A,589369.000000,2294527.000000,1.430800,t003_0_1
11A,629870.000000,2265145.000000,1.430800,t003_0_1
12A,436535.000000,2203958.000000,1.430800,t003_0_1
13A,434891.000000,2132948.000000,1.430800,t003_0_1
14A,505527.000000,2106328.000000,1.430800,t003_0_1
15A,582876.000000,2170919.000000,1.430800,t003_0_1
16A,338933.000000,2448052.000000,1.430800,t003_0_1
17A,255185.000000,2574831.000000,1.430800,t003_0_1
18A,263577.000000,2590574.000000,1.430800,t003_0_1
19A,284419.000000,3306257.000000,1.430800,t003_0_1
20A,57869.000000,3687277.000000,1.430800,t003_0_1
1A,1101398.000000,1940702.000000,2.146200,t004_0_1
2A,1529072.000000,2243398.000000,2.146200,t004_0_1
3A,1778284.000000,2437702.000000,2.146200,t004_0_1
4A,1560106.000000,2521043.000000,2.146200,t004_0_1
5A,1223095.000000,2458109.000000,2.146200,t004_0_1
6A,1360330.000000,2214212.000000,2.146200,t004_0_1
7A,954198.000000,2214704.000000,2.146200,t004_0_1
8A,635616.000000,2152287.000000,2.146200,t004_0_1
9A,506175.000000,2080100.000000,2.146200,t004_0_1
10A,581879.000000,2287241.000000,2.146200,t004_0_1
11A,636407.000000,2271917.000000,2.146200,t004_0_1
12A,433161.000000,2208540.000000,2.146200,t004_0_1
13A,435597.000000,2133901.000000,2.146200,t004_0_1
14A,498925.000000,2110689.000000,2.146200,t004_0_1
15A,564935.000000,2170814.000000,2.146200,t004_0_1
16A,345864.000000,2449199.000000,2.146200,t004_0_1
17A,262175.000000,2584675.000000,2.146200,t004_0_1
18A,266475.000000,2592022.000000,2.146200,t004_0_1
19A,281890.000000,3308828.000000,2.146200,t004_0_1
20A,56811.000000,3702849.000000,2.146200,t004_0_1
1A,1119995.000000,1942035.000000,2.861600,t005_0_1
2A,1525912.000000,2248142.000000,2.861600,t005_0_1
3A,1791466.000000,2437369.000000,2.861600,t005_0_1
4A,1544743.000000,2521397.000000,2.861600,t005_0_1
5A,1219902.000000,2472021.000000,2.861600,t005_0_1
6A,1361597.000000,2220001.000000,2.861600,t005_0_1
