ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,813929.000000,1870683.000000,0.000000,t001_0_1
2A,1115408.000000,2119598.000000,0.000000,t001_0_1
3A,1424249.000000,2052921.000000,0.000000,t001_0_1
4A,1740372.000000,2352944.000000,0.000000,t001_0_1
5A,1246886.000000,2658248.000000,0.000000,t001_0_1
6A,815118.000000,2798180.000000,0.000000,t001_0_1
7A,1201352.000000,2785662.000000,0.000000,t001_0_1
8A,952946.000000,2759545.000000,0.000000,t001_0_1
9A,749831.000000,3009108.000000,0.000000,t001_0_1
10A,789965.000000,3015631.000000,0.000000,t001_0_1
11A,1321857.000000,2914473.000000,0.000000,t001_0_1
12A,1056017.000000,2943205.000000,0.000000,t001_0_1
13A,1141700.000000,2965115.000000,0.000000,t001_0_1
14A,1277758.000000,3051796.000000,0.000000,t001_0_1
15A,1299789.000000,3057766.000000,0.000000,t001_0_1
16A,659854.000000,3249848.000000,0.000000,t001_0_1
17A,385349.000000,3231883.000000,0.000000,t001_0_1
18A,504707.000000,3438421.000000,0.000000,t001_0_1
19A,640337.000000,3564321.000000,0.000000,t001_0_1
20A,78794.000000,3855566.000000,0.000000,t001_0_1
1A,810263.000000,1864864.000000,0.715128,t002_0_1
2A,1109616.000000,2121447.000000,0.715128,t002_0_1
3A,1427462.000000,2049723.000000,0.715128,t002_0_1
4A,1724373.000000,2350346.000000,0.715128,t002_0_1
5A,1249460.000000,2651387.000000,0.715128,t002_0_1
6A,804640.000000,2795631.000000,0.715128,t002_0_1
7A,1203819.000000,2780309.000000,0.715128,t002_0_1
8A,936944.000000,2758499.000000,0.715128,t002_0_1
9A,740875.000000,3005835.000000,0.715128,t002_0_1
10A,800301.000000,3018430.000000,0.715128,t002_0_1
11A,1320256.000000,2911102.000000,0.715128,t002_0_1
12A,1072576.000000,2938878.000000,0.715128,t002_0_1
13A,1134864.000000,2964052.000000,0.715128,t002_0_1
14A,1260786.000000,3047815.000000,0.715128,t002_0_1
15A,1291872.000000,3059381.000000,0.715128,t002_0_1
16A,656839.000000,3250457.000000,0.715128,t002_0_1
17A,395857.000000,3233578.000000,0.715128,t002_0_1
18A,509649.000000,3442966.000000,0.715128,t002_0_1
19A,632271.000000,3563453.000000,0.715128,t002_0_1
20A,76273.000000,3847671.000000,0.715128,t002_0_1
1A,802133.000000,1851463.000000,1.430256,t003_0_1
2A,1101693.000000,2109352.000000,1.430256,t003_0_1
3A,1426684.000000,2034211.000000,1.430256,t003_0_1
4A,1736119.000000,2350256.000000,1.430256,t003_0_1
5A,1221725.000000,2638837.000000,1.430256,t003_0_1
6A,787212.000000,2794828.000000,1.430256,t003_0_1
7A,1196599.000000,2767388.000000,1.430256,t003_0_1
8A,929930.000000,2746748.000000,1.430256,t003_0_1
9A,759550.000000,3007049.000000,1.430256,t003_0_1
