ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,4991341.000000,1852624.000000,0.000000,t001_0_1
2A,4792441.000000,2241712.000000,0.000000,t001_0_1
3A,4669956.000000,2474576.000000,0.000000,t001_0_1
4A,4660076.000000,2715650.000000,0.000000,t001_0_1
5A,3198549.000000,2687966.000000,0.000000,t001_0_1
6A,1435870.000000,2340117.000000,0.000000,t001_0_1
7A,1414477.000000,2353896.000000,0.000000,t001_0_1
8A,915257.000000,2461251.000000,0.000000,t001_0_1
9A,1476622.000000,2510072.000000,0.000000,t001_0_1
10A,2070065.000000,2241480.000000,0.000000,t001_0_1
11A,2678468.000000,2312496.000000,0.000000,t001_0_1
12A,2585342.000000,2609670.000000,0.000000,t001_0_1
13A,2640163.000000,2644914.000000,0.000000,t001_0_1
14A,1967777.000000,2876664.000000,0.000000,t001_0_1
15A,1324844.000000,2681580.000000,0.000000,t001_0_1
16A,634228.000000,2938305.000000,0.000000,t001_0_1
17A,650058.000000,2778704.000000,0.000000,t001_0_1
18A,714109.000000,3027440.000000,0.000000,t001_0_1
19A,476722.000000,3134555.000000,0.000000,t001_0_1
20A,55645.000000,4107347.000000,0.000000,t001_0_1
1A,5013195.000000,1855239.000000,0.667392,t002_0_1
2A,4793636.000000,2246029.000000,0.667392,t002_0_1
3A,4681387.000000,2485304.000000,0.667392,t002_0_1
4A,4651662.000000,2736144.000000,0.667392,t002_0_1
5A,3159246.000000,2705565.000000,0.667392,t002_0_1
6A,1486014.000000,2349014.000000,0.667392,t002_0_1
7A,1388491.000000,2386669.000000,0.667392,t002_0_1
8A,892202.000000,2437585.000000,0.667392,t002_0_1
9A,1502163.000000,2542679.000000,0.667392,t002_0_1
10A,2038691.000000,2261555.000000,0.667392,t002_0_1
11A,2691079.000000,2285889.000000,0.667392,t002_0_1
12A,2582100.000000,2601106.000000,0.667392,t002_0_1
13A,2641375.000000,2669166.000000,0.667392,t002_0_1
14A,1950790.000000,2806485.000000,0.667392,t002_0_1
15A,1382848.000000,2701630.000000,0.667392,t002_0_1
16A,639298.000000,2927938.000000,0.667392,t002_0_1
17A,669460.000000,2796648.000000,0.667392,t002_0_1
18A,734541.000000,3050032.000000,0.667392,t002_0_1
19A,464497.000000,3164196.000000,0.667392,t002_0_1
20A,55862.000000,4111054.000000,0.667392,t002_0_1
1A,5005555.000000,1849954.000000,1.334784,t003_0_1
2A,4794874.000000,2252488.000000,1.334784,t003_0_1
3A,4697886.000000,2478993.000000,1.334784,t003_0_1
4A,4635391.000000,2729612.000000,1.334784,t003_0_1
5A,3140691.000000,2729664.000000,1.334784,t003_0_1
6A,1544751.000000,2338355.000000,1.334784,t003_0_1
7A,1359073.000000,2385504.000000,1.334784,t003_0_1
8A,896176.000000,2486035.000000,1.334784,t003_0_1
9A,1504947.000000,2530687.000000,1.334784,t003_0_1
10A,2028549.000000,2253951.000000,1.334784,t003_0_1
11A,2685294.000000,2268788.000000,1.334784,t003_0_1
12A,2585141.000000,2569484.000000,1.334784,t003_0_1
13A,2656076.000000,2679946.000000,1.334784,t003_0_1
14A,1947715.000000,2861093.000000,1.334784,t003_0_1
15A,1450055.000000,2679551.000000,1.334784,t003_0_1
16A,632488.000000,2925803.000000,1.334784,t003_0_1
17A,689378.000000,2794150.000000,1.334784,t003_0_1
18A,750045.000000,3101147.000000,1.334784,t003_0_1
19A,449943.000000,3162284.000000,1.334784,t003_0_1
20A,56276.000000,4113645.000000,1.334784,t003_0_1
1A,4996355.000000,1867220.000000,2.002176,t004_0_1
2A,4807095.000000,2258959.000000,2.002176,t004_0_1
3A,4686646.000000,2504350.000000,2.002176,t004_0_1
4A,4604977.000000,2743945.000000,2.002176,t004_0_1
5A,3090605.000000,2710041.000000,2.002176,t004_0_1
