ROI ID,Total Intensity:CH1,Total Intensity:CH2,Time,Frame Id
1A,2092153.000000,2241565.000000,0.000000,t001_0_1
2A,2631755.000000,2537028.000000,0.000000,t001_0_1
3A,1786046.000000,2670283.000000,0.000000,t001_0_1
4A,958819.000000,2822275.000000,0.000000,t001_0_1
5A,538645.000000,2725581.000000,0.000000,t001_0_1
6A,364798.000000,2829982.000000,0.000000,t001_0_1
7A,860147.000000,2389667.000000,0.000000,t001_0_1
8A,784900.000000,2609673.000000,0.000000,t001_0_1
9A,1409601.000000,2622737.000000,0.000000,t001_0_1
10A,2360205.000000,2595205.000000,0.000000,t001_0_1
11A,2148652.000000,2628470.000000,0.000000,t001_0_1
12A,1646183.000000,2760875.000000,0.000000,t001_0_1
13A,1564719.000000,2824067.000000,0.000000,t001_0_1
14A,1586053.000000,2792395.000000,0.000000,t001_0_1
15A,1436920.000000,2816498.000000,0.000000,t001_0_1
16A,643064.000000,2953264.000000,0.000000,t001_0_1
17A,1161135.000000,2691821.000000,0.000000,t001_0_1
18A,861506.000000,2926761.000000,0.000000,t001_0_1
19A,292850.000000,3551154.000000,0.000000,t001_0_1
20A,54445.000000,4139468.000000,0.000000,t001_0_1
1A,2077366.000000,2231134.000000,0.667392,t002_0_1
2A,2627549.000000,2534406.000000,0.667392,t002_0_1
3A,1803030.000000,2677317.000000,0.667392,t002_0_1
4A,970175.000000,2836046.000000,0.667392,t002_0_1
5A,548995.000000,2733590.000000,0.667392,t002_0_1
6A,369997.000000,2819163.000000,0.667392,t002_0_1
7A,858851.000000,2439903.000000,0.667392,t002_0_1
8A,786417.000000,2619212.000000,0.667392,t002_0_1
9A,1402012.000000,2592384.000000,0.667392,t002_0_1
10A,2359802.000000,2598531.000000,0.667392,t002_0_1
11A,2159208.000000,2637170.000000,0.667392,t002_0_1
12A,1648090.000000,2778514.000000,0.667392,t002_0_1
13A,1540557.000000,2842674.000000,0.667392,t002_0_1
14A,1610707.000000,2789975.000000,0.667392,t002_0_1
15A,1450138.000000,2810066.000000,0.667392,t002_0_1
16A,633157.000000,2930518.000000,0.667392,t002_0_1
17A,1150043.000000,2691342.000000,0.667392,t002_0_1
