ROI ID,Total Intensity,Time,Frame Id
1A,1514535,0,t001_0_1
2A,1897455,0,t001_0_1
3A,3353636,0,t001_0_1
4A,5437019,0,t001_0_1
5A,5884589,0,t001_0_1
6A,3562740,0,t001_0_1
7A,1949524,0,t001_0_1
8A,688118,0,t001_0_1
9A,401409,0,t001_0_1
10A,463646,0,t001_0_1
11A,399385,0,t001_0_1
12A,389247,0,t001_0_1
13A,187928,0,t001_0_1
14A,168027,0,t001_0_1
15A,134484,0,t001_0_1
16A,136165,0,t001_0_1
17A,135888,0,t001_0_1
18A,130871,0,t001_0_1
19A,122893,0,t001_0_1
20A,117714,0,t001_0_1
1A,1485177,0.681504,t002_0_1
2A,1838666,0.681504,t002_0_1
3A,3298887,0.681504,t002_0_1
4A,5403563,0.681504,t002_0_1
5A,5919461,0.681504,t002_0_1
6A,3498169,0.681504,t002_0_1
7A,1977352,0.681504,t002_0_1
8A,685721,0.681504,t002_0_1
9A,402078,0.681504,t002_0_1
10A,466807,0.681504,t002_0_1
11A,394668,0.681504,t002_0_1
12A,386964,0.681504,t002_0_1
13A,184823,0.681504,t002_0_1
14A,168868,0.681504,t002_0_1
15A,135681,0.681504,t002_0_1
16A,135163,0.681504,t002_0_1
17A,134091,0.681504,t002_0_1
18A,126961,0.681504,t002_0_1
19A,122885,0.681504,t002_0_1
20A,118126,0.681504,t002_0_1
1A,1456314,1.363008,t003_0_1
2A,1790346,1.363008,t003_0_1
3A,3251005,1.363008,t003_0_1
4A,5376456,1.363008,t003_0_1
5A,5991183,1.363008,t003_0_1
6A,3489083,1.363008,t003_0_1
7A,2020502,1.363008,t003_0_1
8A,697060,1.363008,t003_0_1
9A,402020,1.363008,t003_0_1
10A,474291,1.363008,t003_0_1
11A,398602,1.363008,t003_0_1
12A,390011,1.363008,t003_0_1
13A,186518,1.363008,t003_0_1
14A,169620,1.363008,t003_0_1
15A,134649,1.363008,t003_0_1
16A,135140,1.363008,t003_0_1
17A,132021,1.363008,t003_0_1
18A,124389,1.363008,t003_0_1
19A,123909,1.363008,t003_0_1
20A,117697,1.363008,t003_0_1
1A,1445343,2.044512,t004_0_1
2A,1744244,2.044512,t004_0_1
3A,3215052,2.044512,t004_0_1
4A,5346586,2.044512,t004_0_1
5A,6045521,2.044512,t004_0_1
6A,3445865,2.044512,t004_0_1
7A,2034781,2.044512,t004_0_1
8A,694263,2.044512,t004_0_1
9A,399789,2.044512,t004_0_1
10A,463976,2.044512,t004_0_1
11A,388324,2.044512,t004_0_1
12A,389374,2.044512,t004_0_1
13A,185163,2.044512,t004_0_1
14A,168050,2.044512,t004_0_1
15A,132478,2.044512,t004_0_1
16A,132954,2.044512,t004_0_1
17A,129717,2.044512,t004_0_1
18A,121235,2.044512,t004_0_1
19A,121104,2.044512,t004_0_1
20A,116103,2.044512,t004_0_1
1A,1410214,2.726016,t005_0_1
2A,1702418,2.726016,t005_0_1
3A,3208918,2.726016,t005_0_1
4A,5377327,2.726016,t005_0_1
5A,6140319,2.726016,t005_0_1
6A,3442240,2.726016,t005_0_1
7A,2063805,2.726016,t005_0_1
8A,691857,2.726016,t005_0_1
9A,399738,2.726016,t005_0_1
10A,461618,2.726016,t005_0_1
11A,384146,2.726016,t005_0_1
12A,381465,2.726016,t005_0_1
13A,181994,2.726016,t005_0_1
14A,165200,2.726016,t005_0_1
15A,131121,2.726016,t005_0_1
16A,130868,2.726016,t005_0_1
17A,127852,2.726016,t005_0_1
18A,118111,2.726016,t005_0_1
19A,121355,2.726016,t005_0_1
20A,114205,2.726016,t005_0_1
1A,1398960,3.40752,t006_0_1
2A,1667149,3.40752,t006_0_1
3A,3184708,3.40752,t006_0_1
4A,5378224,3.40752,t006_0_1
5A,6182223,3.40752,t006_0_1
6A,3416773,3.40752,t006_0_1
7A,2088283,3.40752,t006_0_1
8A,684597,3.40752,t006_0_1
9A,391323,3.40752,t006_0_1
10A,465100,3.40752,t006_0_1
11A,381039,3.40752,t006_0_1
12A,375672,3.40752,t006_0_1
13A,183789,3.40752,t006_0_1
14A,166822,3.40752,t006_0_1
15A,130303,3.40752,t006_0_1
16A,131016,3.40752,t006_0_1
17A,128099,3.40752,t006_0_1
