ROI ID,Total Intensity,Time,Frame Id
14A,1910173,5.0256,t009_0_1
15A,1756529,5.0256,t009_0_1
16A,1954083,5.0256,t009_0_1
17A,1831761,5.0256,t009_0_1
18A,1820771,5.0256,t009_0_1
19A,855631,5.0256,t009_0_1
20A,142467,5.0256,t009_0_1
1A,322170,5.6538,t010_0_1
2A,468519,5.6538,t010_0_1
3A,880051,5.6538,t010_0_1
4A,1723900,5.6538,t010_0_1
5A,2186218,5.6538,t010_0_1
6A,2546615,5.6538,t010_0_1
7A,1231300,5.6538,t010_0_1
8A,1130443,5.6538,t010_0_1
9A,1310088,5.6538,t010_0_1
10A,1259750,5.6538,t010_0_1
11A,1674879,5.6538,t010_0_1
12A,2008070,5.6538,t010_0_1
13A,1979356,5.6538,t010_0_1
14A,1906886,5.6538,t010_0_1
15A,1747796,5.6538,t010_0_1
16A,1950223,5.6538,t010_0_1
17A,1836943,5.6538,t010_0_1
18A,1820505,5.6538,t010_0_1
19A,828350,5.6538,t010_0_1
20A,143075,5.6538,t010_0_1
1A,319800,6.282,t011_0_1
2A,465193,6.282,t011_0_1
3A,876858,6.282,t011_0_1
4A,1734579,6.282,t011_0_1
5A,2207282,6.282,t011_0_1
6A,2577745,6.282,t011_0_1
7A,1266217,6.282,t011_0_1
8A,1116211,6.282,t011_0_1
9A,1287475,6.282,t011_0_1
10A,1274921,6.282,t011_0_1
11A,1684609,6.282,t011_0_1
12A,2011666,6.282,t011_0_1
13A,1997291,6.282,t011_0_1
14A,1909464,6.282,t011_0_1
15A,1753582,6.282,t011_0_1
16A,1962947,6.282,t011_0_1
17A,1834361,6.282,t011_0_1
18A,1825705,6.282,t011_0_1
19A,797394,6.282,t011_0_1
20A,142450,6.282,t011_0_1
1A,319067,6.9102,t012_0_1
2A,469748,6.9102,t012_0_1
3A,878596,6.9102,t012_0_1
4A,1730392,6.9102,t012_0_1
5A,2203296,6.9102,t012_0_1
6A,2567235,6.9102,t012_0_1
7A,1297019,6.9102,t012_0_1
8A,1094395,6.9102,t012_0_1
9A,1264864,6.9102,t012_0_1
10A,1290224,6.9102,t012_0_1
11A,1689747,6.9102,t012_0_1
12A,2010817,6.9102,t012_0_1
13A,2000130,6.9102,t012_0_1
14A,1915547,6.9102,t012_0_1
15A,1754438,6.9102,t012_0_1
16A,1959590,6.9102,t012_0_1
17A,1833560,6.9102,t012_0_1
18A,1824481,6.9102,t012_0_1
19A,779069,6.9102,t012_0_1
20A,141856,6.9102,t012_0_1
1A,320412,7.5384,t013_0_1
2A,469234,7.5384,t013_0_1
3A,874001,7.5384,t013_0_1
4A,1719081,7.5384,t013_0_1
5A,2203505,7.5384,t013_0_1
6A,2585801,7.5384,t013_0_1
7A,1324781,7.5384,t013_0_1
8A,1089292,7.5384,t013_0_1
9A,1244770,7.5384,t013_0_1
10A,1299891,7.5384,t013_0_1
11A,1696166,7.5384,t013_0_1
12A,2012557,7.5384,t013_0_1
13A,1999316,7.5384,t013_0_1
14A,1917282,7.5384,t013_0_1
15A,1767994,7.5384,t013_0_1
16A,1967874,7.5384,t013_0_1
17A,1840451,7.5384,t013_0_1
18A,1827997,7.5384,t013_0_1
19A,776056,7.5384,t013_0_1
20A,143403,7.5384,t013_0_1
1A,321930,8.1666,t014_0_1
2A,465451,8.1666,t014_0_1
3A,872200,8.1666,t014_0_1
4A,1721451,8.1666,t014_0_1
5A,2194217,8.1666,t014_0_1
6A,2595151,8.1666,t014_0_1
7A,1340609,8.1666,t014_0_1
8A,1081438,8.1666,t014_0_1
9A,1221333,8.1666,t014_0_1
10A,1302692,8.1666,t014_0_1
11A,1692065,8.1666,t014_0_1
12A,2006013,8.1666,t014_0_1
13A,2000125,8.1666,t014_0_1
14A,1908103,8.1666,t014_0_1
15A,1757876,8.1666,t014_0_1
16A,1965523,8.1666,t014_0_1
17A,1840636,8.1666,t014_0_1
18A,1822871,8.1666,t014_0_1
19A,785716,8.1666,t014_0_1
20A,142954,8.1666,t014_0_1
1A,321040,8.7948,t015_0_1
2A,467312,8.7948,t015_0_1
3A,871829,8.7948,t015_0_1
4A,1724442,8.7948,t015_0_1
5A,2211762,8.7948,t015_0_1
6A,2603345,8.7948,t015_0_1
7A,1337435,8.7948,t015_0_1
8A,1105258,8.7948,t015_0_1
9A,1209262,8.7948,t015_0_1
10A,1300741,8.7948,t015_0_1
11A,1693731,8.7948,t015_0_1
12A,2010698,8.7948,t015_0_1
13A,2003117,8.7948,t015_0_1
14A,1918463,8.7948,t015_0_1
15A,1761257,8.7948,t015_0_1
16A,1968761,8.7948,t015_0_1
17A,1842170,8.7948,t015_0_1
18A,1829276,8.7948,t015_0_1
19A,830662,8.7948,t015_0_1
20A,141162,8.7948,t015_0_1
1A,319656,9.423,t016_0_1
2A,465584,9.423,t016_0_1
3A,874148,9.423,t016_0_1
4A,1734097,9.423,t016_0_1
5A,2210557,9.423,t016_0_1
6A,2615833,9.423,t016_0_1
7A,1341204,9.423,t016_0_1
8A,1123100,9.423,t016_0_1
9A,1204656,9.423,t016_0_1
10A,1293977,9.423,t016_0_1
11A,1694156,9.423,t016_0_1
12A,2004761,9.423,t016_0_1
13A,1998917,9.423,t016_0_1
14A,1919678,9.423,t016_0_1
15A,1759220,9.423,t016_0_1
16A,1966893,9.423,t016_0_1
17A,1841373,9.423,t016_0_1
18A,1822505,9.423,t016_0_1
19A,875196,9.423,t016_0_1
20A,142442,9.423,t016_0_1
1A,316634,10.0512,t017_0_1
2A,468250,10.0512,t017_0_1
3A,875636,10.0512,t017_0_1
4A,1730454,10.0512,t017_0_1
5A,2213151,10.0512,t017_0_1
6A,2613164,10.0512,t017_0_1
7A,1333620,10.0512,t017_0_1
8A,1134421,10.0512,t017_0_1
9A,1209401,10.0512,t017_0_1
10A,1285139,10.0512,t017_0_1
11A,1677773,10.0512,t017_0_1
12A,1996423,10.0512,t017_0_1
13A,1998962,10.0512,t017_0_1
14A,1913755,10.0512,t017_0_1
15A,1764103,10.0512,t017_0_1
16A,1967333,10.0512,t017_0_1
17A,1837073,10.0512,t017_0_1
18A,1827436,10.0512,t017_0_1
19A,902133,10.0512,t017_0_1
20A,142331,10.0512,t017_0_1
1A,318930,10.6794,t018_0_1
2A,467142,10.6794,t018_0_1
3A,870378,10.6794,t018_0_1
4A,1735056,10.6794,t018_0_1
5A,2215652,10.6794,t018_0_1
6A,2611454,10.6794,t018_0_1
7A,1294401,10.6794,t018_0_1
8A,1136267,10.6794,t018_0_1
9A,1201843,10.6794,t018_0_1
10A,1284010,10.6794,t018_0_1
11A,1659095,10.6794,t018_0_1
12A,1985470,10.6794,t018_0_1
13A,1994037,10.6794,t018_0_1
14A,1915233,10.6794,t018_0_1
15A,1763826,10.6794,t018_0_1
16A,1962231,10.6794,t018_0_1
17A,1837472,10.6794,t018_0_1
18A,1827946,10.6794,t018_0_1
19A,920581,10.6794,t018_0_1
20A,142988,10.6794,t018_0_1
1A,320591,11.3076,t019_0_1
2A,465849,11.3076,t019_0_1
3A,877364,11.3076,t019_0_1
4A,1731152,11.3076,t019_0_1
5A,2212584,11.3076,t019_0_1
6A,2602976,11.3076,t019_0_1
7A,1216678,11.3076,t019_0_1
8A,1139360,11.3076,t019_0_1
9A,1207726,11.3076,t019_0_1
10A,1279088,11.3076,t019_0_1
11A,1648895,11.3076,t019_0_1
12A,1983690,11.3076,t019_0_1
13A,2003601,11.3076,t019_0_1
14A,1923346,11.3076,t019_0_1
15A,1763014,11.3076,t019_0_1
16A,1964227,11.3076,t019_0_1
17A,1842972,11.3076,t019_0_1
18A,1829588,11.3076,t019_0_1
19A,924263,11.3076,t019_0_1
20A,141949,11.3076,t019_0_1
1A,317034,11.9358,t020_0_1
2A,465908,11.9358,t020_0_1
3A,877019,11.9358,t020_0_1
4A,1728775,11.9358,t020_0_1
5A,2218942,11.9358,t020_0_1
6A,2593247,11.9358,t020_0_1
7A,1133967,11.9358,t020_0_1
8A,1150239,11.9358,t020_0_1
9A,1216650,11.9358,t020_0_1
10A,1273691,11.9358,t020_0_1
11A,1635089,11.9358,t020_0_1
12A,1983272,11.9358,t020_0_1
13A,2005833,11.9358,t020_0_1
14A,1923269,11.9358,t020_0_1
15A,1760904,11.9358,t020_0_1
16A,1971787,11.9358,t020_0_1
17A,1841541,11.9358,t020_0_1
