ROI ID,Total Intensity,Time,Frame Id
12A,2019156,4.616136,t008_0_1
13A,1825448,4.616136,t008_0_1
14A,1526243,4.616136,t008_0_1
15A,1165923,4.616136,t008_0_1
16A,868407,4.616136,t008_0_1
17A,845049,4.616136,t008_0_1
18A,818839,4.616136,t008_0_1
19A,683779,4.616136,t008_0_1
20A,264574,4.616136,t008_0_1
1A,1456861,5.275584,t009_0_1
2A,737112,5.275584,t009_0_1
3A,1812226,5.275584,t009_0_1
4A,3063243,5.275584,t009_0_1
5A,3034948,5.275584,t009_0_1
6A,2395688,5.275584,t009_0_1
7A,2215356,5.275584,t009_0_1
8A,2207497,5.275584,t009_0_1
9A,2117575,5.275584,t009_0_1
10A,2105822,5.275584,t009_0_1
11A,2212176,5.275584,t009_0_1
12A,2013828,5.275584,t009_0_1
13A,1807008,5.275584,t009_0_1
14A,1518851,5.275584,t009_0_1
15A,1162694,5.275584,t009_0_1
16A,882216,5.275584,t009_0_1
17A,859572,5.275584,t009_0_1
18A,819828,5.275584,t009_0_1
19A,678921,5.275584,t009_0_1
20A,263740,5.275584,t009_0_1
1A,1471912,5.935032,t010_0_1
2A,755508,5.935032,t010_0_1
3A,1844997,5.935032,t010_0_1
4A,3062225,5.935032,t010_0_1
5A,3041068,5.935032,t010_0_1
6A,2403137,5.935032,t010_0_1
7A,2209411,5.935032,t010_0_1
8A,2203725,5.935032,t010_0_1
9A,2131803,5.935032,t010_0_1
10A,2097714,5.935032,t010_0_1
11A,2191594,5.935032,t010_0_1
12A,2007288,5.935032,t010_0_1
13A,1813967,5.935032,t010_0_1
14A,1519696,5.935032,t010_0_1
15A,1150196,5.935032,t010_0_1
16A,879528,5.935032,t010_0_1
17A,863078,5.935032,t010_0_1
18A,818801,5.935032,t010_0_1
19A,681369,5.935032,t010_0_1
20A,264375,5.935032,t010_0_1
1A,1472389,6.59448,t011_0_1
2A,780287,6.59448,t011_0_1
3A,1845524,6.59448,t011_0_1
4A,3033865,6.59448,t011_0_1
5A,3045158,6.59448,t011_0_1
6A,2420929,6.59448,t011_0_1
7A,2223417,6.59448,t011_0_1
8A,2206341,6.59448,t011_0_1
9A,2139040,6.59448,t011_0_1
10A,2074580,6.59448,t011_0_1
11A,2201261,6.59448,t011_0_1
12A,1990647,6.59448,t011_0_1
13A,1798404,6.59448,t011_0_1
14A,1502797,6.59448,t011_0_1
15A,1143522,6.59448,t011_0_1
16A,891981,6.59448,t011_0_1
17A,856269,6.59448,t011_0_1
18A,832081,6.59448,t011_0_1
19A,694049,6.59448,t011_0_1
20A,263560,6.59448,t011_0_1
1A,1496088,7.253928,t012_0_1
2A,807407,7.253928,t012_0_1
3A,1884466,7.253928,t012_0_1
4A,2989643,7.253928,t012_0_1
5A,3056657,7.253928,t012_0_1
6A,2450152,7.253928,t012_0_1
7A,2234916,7.253928,t012_0_1
8A,2197156,7.253928,t012_0_1
9A,2140706,7.253928,t012_0_1
10A,2089811,7.253928,t012_0_1
11A,2189390,7.253928,t012_0_1
12A,1990003,7.253928,t012_0_1
13A,1785028,7.253928,t012_0_1
14A,1520435,7.253928,t012_0_1
15A,1115399,7.253928,t012_0_1
16A,903329,7.253928,t012_0_1
17A,863892,7.253928,t012_0_1
